MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
G4,2022,1,3,1,2,3/1/2022 12:00:00 AM,G4,20368,G4,1003,,,,,G4,20368,G4,272NV,1003,10466,1046602,30466,AZA,11986,1198603,31986,GRR,1207,1145.0,-22.0,0.0,0.0,-2.0,1200-1259,25.0,1210.0,1716.0,6.0,1723,1722.0,-1.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,196.0,217.0,186.0,1.0,1561.0,7,,,
G4,2022,1,3,1,2,3/1/2022 12:00:00 AM,G4,20368,G4,1005,,,,,G4,20368,G4,,1005,11986,1198603,31986,GRR,14082,1408202,34082,PGD,930,,,,,,0900-0959,,,,,1221,,,,,,1200-1259,1.0,A,0.0,171.0,,,1.0,1118.0,5,,,
G4,2022,1,3,1,2,3/1/2022 12:00:00 AM,G4,20368,G4,1020,,,,,G4,20368,G4,273NV,1020,11986,1198603,31986,GRR,14112,1411206,33195,PIE,1045,1202.0,77.0,77.0,1.0,5.0,1000-1059,11.0,1213.0,1426.0,25.0,1328,1451.0,83.0,83.0,1.0,5.0,1300-1359,0.0,,0.0,163.0,169.0,133.0,1.0,1044.0,5,,,
G4,2022,1,3,1,2,3/1/2022 12:00:00 AM,G4,20368,G4,1031,,,,,G4,20368,G4,273NV,1031,14112,1411206,33195,PIE,11986,1198603,31986,GRR,1413,1547.0,94.0,94.0,1.0,6.0,1400-1459,9.0,1556.0,1820.0,6.0,1650,1826.0,96.0,96.0,1.0,6.0,1600-1659,0.0,,0.0,157.0,159.0,144.0,1.0,1044.0,5,,,
G4,2022,1,3,1,2,3/1/2022 12:00:00 AM,G4,20368,G4,1044,,,,,G4,20368,G4,271NV,1044,11986,1198603,31986,GRR,14761,1476107,34761,SFB,1015,1020.0,5.0,5.0,0.0,0.0,1000-1059,14.0,1034.0,1240.0,4.0,1255,1244.0,-11.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,160.0,144.0,126.0,1.0,1001.0,5,,,
G4,2022,1,3,1,2,3/1/2022 12:00:00 AM,G4,20368,G4,1052,,,,,G4,20368,G4,271NV,1052,14761,1476107,34761,SFB,11986,1198603,31986,GRR,1340,1329.0,-11.0,0.0,0.0,-1.0,1300-1359,15.0,1344.0,1608.0,4.0,1616,1612.0,-4.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,156.0,163.0,144.0,1.0,1001.0,5,,,
G4,2022,1,3,1,2,3/1/2022 12:00:00 AM,G4,20368,G4,1085,,,,,G4,20368,G4,223NV,1085,14082,1408202,34082,PGD,12339,1233904,32337,IND,1710,1751.0,41.0,41.0,1.0,2.0,1700-1759,13.0,1804.0,2015.0,5.0,1934,2020.0,46.0,46.0,1.0,3.0,1900-1959,0.0,,0.0,144.0,149.0,131.0,1.0,916.0,4,,,
G4,2022,1,3,1,2,3/1/2022 12:00:00 AM,G4,20368,G4,1088,,,,,G4,20368,G4,219NV,1088,12339,1233904,32337,IND,14112,1411206,33195,PIE,800,820.0,20.0,20.0,1.0,1.0,0800-0859,11.0,831.0,1020.0,4.0,1015,1024.0,9.0,9.0,0.0,0.0,1000-1059,0.0,,0.0,135.0,124.0,109.0,1.0,840.0,4,,,
G4,2022,1,3,1,2,3/1/2022 12:00:00 AM,G4,20368,G4,1106,,,,,G4,20368,G4,223NV,1106,12339,1233904,32337,IND,14082,1408202,34082,PGD,1400,1424.0,24.0,24.0,1.0,1.0,1400-1459,12.0,1436.0,1633.0,16.0,1625,1649.0,24.0,24.0,1.0,1.0,1600-1659,0.0,,0.0,145.0,145.0,117.0,1.0,916.0,4,,,
G4,2022,1,3,1,2,3/1/2022 12:00:00 AM,G4,20368,G4,1120,,,,,G4,20368,G4,219NV,1120,14112,1411206,33195,PIE,12339,1233904,32337,IND,1100,1102.0,2.0,2.0,0.0,0.0,1100-1159,17.0,1119.0,1325.0,5.0,1315,1330.0,15.0,15.0,1.0,1.0,1300-1359,0.0,,0.0,135.0,148.0,126.0,1.0,840.0,4,,,
