MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
HA,2022,3,9,1,4,9/1/2022 12:00:00 AM,HA,19690,HA,1,,,,,HA,19690,HA,N392HA,1,12892,1289208,32575,LAX,12173,1217305,32134,HNL,700,657.0,-3.0,0.0,0.0,-1.0,0700-0759,13.0,710.0,927.0,7.0,955,934.0,-21.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,355.0,337.0,317.0,1.0,2556.0,11,,,
HA,2022,3,9,1,4,9/1/2022 12:00:00 AM,HA,19690,HA,10,,,,,HA,19690,HA,N389HA,10,12173,1217305,32134,HNL,12892,1289208,32575,LAX,755,756.0,1.0,1.0,0.0,0.0,0700-0759,22.0,818.0,1626.0,4.0,1625,1630.0,5.0,5.0,0.0,0.0,1600-1659,0.0,,0.0,330.0,334.0,308.0,1.0,2556.0,11,,,
HA,2022,3,9,1,4,9/1/2022 12:00:00 AM,HA,19690,HA,101,,,,,HA,19690,HA,N476HA,101,12402,1240203,32402,ITO,12173,1217305,32134,HNL,600,554.0,-6.0,0.0,0.0,-1.0,0600-0659,10.0,604.0,640.0,6.0,652,646.0,-6.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,52.0,52.0,36.0,1.0,216.0,1,,,
HA,2022,3,9,1,4,9/1/2022 12:00:00 AM,HA,19690,HA,104,,,,,HA,19690,HA,N475HA,104,12982,1298202,32982,LIH,12173,1217305,32134,HNL,600,556.0,-4.0,0.0,0.0,-1.0,0600-0659,8.0,604.0,625.0,7.0,635,632.0,-3.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,35.0,36.0,21.0,1.0,102.0,1,,,
HA,2022,3,9,1,4,9/1/2022 12:00:00 AM,HA,19690,HA,105,,,,,HA,19690,HA,N477HA,105,13830,1383002,33830,OGG,12173,1217305,32134,HNL,600,610.0,10.0,10.0,0.0,0.0,0600-0659,6.0,616.0,637.0,6.0,635,643.0,8.0,8.0,0.0,0.0,0600-0659,0.0,,0.0,35.0,33.0,21.0,1.0,100.0,1,,,
HA,2022,3,9,1,4,9/1/2022 12:00:00 AM,HA,19690,HA,107,,,,,HA,19690,HA,N478HA,107,12758,1275804,32758,KOA,12173,1217305,32134,HNL,615,607.0,-8.0,0.0,0.0,-1.0,0600-0659,8.0,615.0,643.0,7.0,700,650.0,-10.0,0.0,0.0,-1.0,0700-0759,0.0,,0.0,45.0,43.0,28.0,1.0,163.0,1,,,
HA,2022,3,9,1,4,9/1/2022 12:00:00 AM,HA,19690,HA,11,,,,,HA,19690,HA,N399HA,11,14771,1477104,32457,SFO,12173,1217305,32134,HNL,920,920.0,0.0,0.0,0.0,0.0,0900-0959,16.0,936.0,1139.0,8.0,1145,1147.0,2.0,2.0,0.0,0.0,1100-1159,0.0,,0.0,325.0,327.0,303.0,1.0,2398.0,10,,,
HA,2022,3,9,1,4,9/1/2022 12:00:00 AM,HA,19690,HA,111,,,,,HA,19690,HA,N491HA,111,12402,1240203,32402,ITO,12173,1217305,32134,HNL,735,733.0,-2.0,0.0,0.0,-1.0,0700-0759,7.0,740.0,815.0,5.0,827,820.0,-7.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,52.0,47.0,35.0,1.0,216.0,1,,,
HA,2022,3,9,1,4,9/1/2022 12:00:00 AM,HA,19690,HA,112,,,,,HA,19690,HA,N491HA,112,12173,1217305,32134,HNL,12402,1240203,32402,ITO,610,617.0,7.0,7.0,0.0,0.0,0600-0659,12.0,629.0,707.0,4.0,704,711.0,7.0,7.0,0.0,0.0,0700-0759,0.0,,0.0,54.0,54.0,38.0,1.0,216.0,1,,,
HA,2022,3,9,1,4,9/1/2022 12:00:00 AM,HA,19690,HA,117,,,,,HA,19690,HA,N495HA,117,12758,1275804,32758,KOA,12173,1217305,32134,HNL,655,640.0,-15.0,0.0,0.0,-1.0,0600-0659,9.0,649.0,716.0,5.0,740,721.0,-19.0,0.0,0.0,-2.0,0700-0759,0.0,,0.0,45.0,41.0,27.0,1.0,163.0,1,,,
