MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
HA,2023,1,1,1,7,1/1/2023 12:00:00 AM,HA,19690,HA,1,,,,,HA,19690,HA,N399HA,1,12892,1289208,32575,LAX,12173,1217305,32134,HNL,700,658.0,-2.0,0.0,0.0,-1.0,0700-0759,12.0,710.0,1042.0,13.0,1105,1055.0,-10.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,N,365.0,357.0,332.0,1.0,2556.0,11,,,,,,,,
HA,2023,1,1,1,7,1/1/2023 12:00:00 AM,HA,19690,HA,10,,,,,HA,19690,HA,N360HA,10,12173,1217305,32134,HNL,12892,1289208,32575,LAX,800,801.0,1.0,1.0,0.0,0.0,0800-0859,19.0,820.0,1509.0,8.0,1530,1517.0,-13.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,N,330.0,316.0,289.0,1.0,2556.0,11,,,,,,,,
HA,2023,1,1,1,7,1/1/2023 12:00:00 AM,HA,19690,HA,100,,,,,HA,19690,HA,N213HA,100,12173,1217305,32134,HNL,13830,1383002,33830,OGG,1945,2003.0,18.0,18.0,1.0,1.0,1900-1959,21.0,2024.0,2046.0,6.0,2030,2052.0,22.0,22.0,1.0,1.0,2000-2059,0.0,,0.0,N,45.0,49.0,22.0,1.0,100.0,1,22.0,0.0,0.0,0.0,0.0,,,
HA,2023,1,1,1,7,1/1/2023 12:00:00 AM,HA,19690,HA,101,,,,,HA,19690,HA,N477HA,101,12402,1240203,32402,ITO,12173,1217305,32134,HNL,600,554.0,-6.0,0.0,0.0,-1.0,0600-0659,10.0,604.0,638.0,9.0,653,647.0,-6.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,N,53.0,53.0,34.0,1.0,216.0,1,,,,,,,,
HA,2023,1,1,1,7,1/1/2023 12:00:00 AM,HA,19690,HA,104,,,,,HA,19690,HA,N478HA,104,12982,1298202,32982,LIH,12173,1217305,32134,HNL,600,555.0,-5.0,0.0,0.0,-1.0,0600-0659,9.0,604.0,625.0,10.0,636,635.0,-1.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,N,36.0,40.0,21.0,1.0,102.0,1,,,,,,,,
HA,2023,1,1,1,7,1/1/2023 12:00:00 AM,HA,19690,HA,109,,,,,HA,19690,HA,N213HA,109,13830,1383002,33830,OGG,12173,1217305,32134,HNL,1700,1725.0,25.0,25.0,1.0,1.0,1700-1759,12.0,1737.0,1759.0,11.0,1745,1810.0,25.0,25.0,1.0,1.0,1700-1759,0.0,,0.0,N,45.0,45.0,22.0,1.0,100.0,1,0.0,0.0,0.0,0.0,25.0,,,
HA,2023,1,1,1,7,1/1/2023 12:00:00 AM,HA,19690,HA,11,,,,,HA,19690,HA,N373HA,11,14771,1477104,32457,SFO,12173,1217305,32134,HNL,720,720.0,0.0,0.0,0.0,0.0,0700-0759,17.0,737.0,1046.0,9.0,1055,1055.0,0.0,0.0,0.0,0.0,1000-1059,0.0,,0.0,N,335.0,335.0,309.0,1.0,2398.0,10,,,,,,,,
HA,2023,1,1,1,7,1/1/2023 12:00:00 AM,HA,19690,HA,110,,,,,HA,19690,HA,N475HA,110,13830,1383002,33830,OGG,12402,1240203,32402,ITO,920,911.0,-9.0,0.0,0.0,-1.0,0900-0959,8.0,919.0,944.0,6.0,959,950.0,-9.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,N,39.0,39.0,25.0,1.0,121.0,1,,,,,,,,
HA,2023,1,1,1,7,1/1/2023 12:00:00 AM,HA,19690,HA,119,,,,,HA,19690,HA,N485HA,119,12402,1240203,32402,ITO,13830,1383002,33830,OGG,800,755.0,-5.0,0.0,0.0,-1.0,0800-0859,10.0,805.0,828.0,6.0,840,834.0,-6.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,N,40.0,39.0,23.0,1.0,121.0,1,,,,,,,,
HA,2023,1,1,1,7,1/1/2023 12:00:00 AM,HA,19690,HA,12,,,,,HA,19690,HA,N370HA,12,12173,1217305,32134,HNL,14771,1477104,32457,SFO,1225,1354.0,89.0,89.0,1.0,5.0,1200-1259,15.0,1409.0,2038.0,20.0,1935,2058.0,83.0,83.0,1.0,5.0,1900-1959,0.0,,0.0,N,310.0,304.0,269.0,1.0,2398.0,10,83.0,0.0,0.0,0.0,0.0,1300.0,18.0,18.0
