MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1077,,,,,G4,20368,G4,261NV,1077,14112,1411206,33195,PIE,14696,1469608,34696,SBN,1000,950.0,-10.0,0.0,0.0,-1.0,1000-1059,17.0,1007.0,1223.0,4.0,1235,1227.0,-8.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,N,155.0,157.0,136.0,1.0,973.0,4,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1081,,,,,G4,20368,G4,261NV,1081,12544,1254404,32544,USA,14112,1411206,33195,PIE,1913,1902.0,-11.0,0.0,0.0,-1.0,1900-1959,10.0,1912.0,2032.0,5.0,2059,2037.0,-22.0,0.0,0.0,-2.0,2000-2059,0.0,,0.0,N,106.0,95.0,80.0,1.0,528.0,3,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1191,,,,,G4,20368,G4,215NV,1191,12265,1226505,32265,IAG,14761,1476107,34761,SFB,1150,1146.0,-4.0,0.0,0.0,-1.0,1100-1159,10.0,1156.0,1412.0,4.0,1436,1416.0,-20.0,0.0,0.0,-2.0,1400-1459,0.0,,0.0,N,166.0,150.0,136.0,1.0,996.0,4,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1193,,,,,G4,20368,G4,242NV,1193,14512,1451202,34512,RFD,14761,1476107,34761,SFB,1754,1846.0,52.0,52.0,1.0,3.0,1700-1759,14.0,1900.0,2205.0,4.0,2131,2209.0,38.0,38.0,1.0,2.0,2100-2159,0.0,,0.0,N,157.0,143.0,125.0,1.0,1025.0,5,11.0,0.0,0.0,0.0,27.0,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1198,,,,,G4,20368,G4,219NV,1198,14761,1476107,34761,SFB,14108,1410803,34108,PIA,835,824.0,-11.0,0.0,0.0,-1.0,0800-0859,11.0,835.0,949.0,4.0,1017,953.0,-24.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,N,162.0,149.0,134.0,1.0,949.0,4,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1214,,,,,G4,20368,G4,215NV,1214,14761,1476107,34761,SFB,12265,1226505,32265,IAG,830,816.0,-14.0,0.0,0.0,-1.0,0800-0859,13.0,829.0,1041.0,6.0,1105,1047.0,-18.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,N,155.0,151.0,132.0,1.0,996.0,4,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1226,,,,,G4,20368,G4,334NV,1226,11624,1162403,31624,EYW,12339,1233904,32337,IND,1002,1008.0,6.0,6.0,0.0,0.0,1000-1059,20.0,1028.0,1253.0,4.0,1254,1257.0,3.0,3.0,0.0,0.0,1200-1259,0.0,,0.0,N,172.0,169.0,145.0,1.0,1078.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1252,,,,,G4,20368,G4,215NV,1252,14761,1476107,34761,SFB,13367,1336706,33367,MLI,1526,1509.0,-17.0,0.0,0.0,-2.0,1500-1559,11.0,1520.0,1644.0,4.0,1713,1648.0,-25.0,0.0,0.0,-2.0,1700-1759,0.0,,0.0,N,167.0,159.0,144.0,1.0,1018.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1312,,,,,G4,20368,G4,334NV,1312,12339,1233904,32337,IND,11624,1162403,31624,EYW,1339,1347.0,8.0,8.0,0.0,0.0,1300-1359,12.0,1359.0,1616.0,4.0,1626,1620.0,-6.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,N,167.0,153.0,137.0,1.0,1078.0,5,,,,,,,,
G4,2023,1,2,1,3,2/1/2023 12:00:00 AM,G4,20368,G4,1357,,,,,G4,20368,G4,236NV,1357,14986,1498603,34986,SRQ,11003,1100303,31003,CID,1522,1507.0,-15.0,0.0,0.0,-1.0,1500-1559,14.0,1521.0,1656.0,23.0,1720,1719.0,-1.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,N,178.0,192.0,155.0,1.0,1125.0,5,,,,,,,,
