MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
G4,2023,1,3,1,3,3/1/2023 12:00:00 AM,G4,20368,G4,1004,,,,,G4,20368,G4,224NV,1004,14112,1411206,33195,PIE,11637,1163703,31637,FAR,830,824.0,-6.0,0.0,0.0,-1.0,0800-0859,13.0,837.0,1103.0,10.0,1120,1113.0,-7.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,N,230.0,229.0,206.0,1.0,1519.0,7,,,
G4,2023,1,3,1,3,3/1/2023 12:00:00 AM,G4,20368,G4,1006,,,,,G4,20368,G4,238NV,1006,14512,1451202,34512,RFD,14112,1411206,33195,PIE,1808,1759.0,-9.0,0.0,0.0,-1.0,1800-1859,9.0,1808.0,2121.0,4.0,2141,2125.0,-16.0,0.0,0.0,-2.0,2100-2159,0.0,,0.0,N,153.0,146.0,133.0,1.0,1049.0,5,,,
G4,2023,1,3,1,3,3/1/2023 12:00:00 AM,G4,20368,G4,1048,,,,,G4,20368,G4,238NV,1048,14696,1469608,34696,SBN,14112,1411206,33195,PIE,1034,1024.0,-10.0,0.0,0.0,-1.0,1000-1059,12.0,1036.0,1242.0,5.0,1301,1247.0,-14.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,N,147.0,143.0,126.0,1.0,973.0,4,,,
G4,2023,1,3,1,3,3/1/2023 12:00:00 AM,G4,20368,G4,1087,,,,,G4,20368,G4,293NV,1087,11775,1177502,31775,FSD,14112,1411206,33195,PIE,1314,1304.0,-10.0,0.0,0.0,-1.0,1300-1359,10.0,1314.0,1653.0,8.0,1716,1701.0,-15.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,N,182.0,177.0,159.0,1.0,1334.0,6,,,
G4,2023,1,3,1,3,3/1/2023 12:00:00 AM,G4,20368,G4,1096,,,,,G4,20368,G4,262NV,1096,14112,1411206,33195,PIE,11423,1142308,31423,DSM,1243,1228.0,-15.0,0.0,0.0,-1.0,1200-1259,8.0,1236.0,1406.0,6.0,1442,1412.0,-30.0,0.0,0.0,-2.0,1400-1459,0.0,,0.0,N,179.0,164.0,150.0,1.0,1126.0,5,,,
G4,2023,1,3,1,3,3/1/2023 12:00:00 AM,G4,20368,G4,1191,,,,,G4,20368,G4,218NV,1191,14761,1476107,34761,SFB,15070,1507003,31703,SWF,1620,1636.0,16.0,16.0,1.0,1.0,1600-1659,13.0,1649.0,1908.0,4.0,1859,1912.0,13.0,13.0,0.0,0.0,1800-1859,0.0,,0.0,N,159.0,156.0,139.0,1.0,965.0,4,,,
G4,2023,1,3,1,3,3/1/2023 12:00:00 AM,G4,20368,G4,1192,,,,,G4,20368,G4,215NV,1192,14761,1476107,34761,SFB,10581,1058102,30581,BGR,700,650.0,-10.0,0.0,0.0,-1.0,0700-0759,9.0,659.0,940.0,7.0,1005,947.0,-18.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,N,185.0,177.0,161.0,1.0,1299.0,6,,,
G4,2023,1,3,1,3,3/1/2023 12:00:00 AM,G4,20368,G4,1197,,,,,G4,20368,G4,329NV,1197,11624,1162403,31624,EYW,12339,1233904,32337,IND,1001,951.0,-10.0,0.0,0.0,-1.0,1000-1059,11.0,1002.0,1231.0,6.0,1248,1237.0,-11.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,N,167.0,166.0,149.0,1.0,1078.0,5,,,
G4,2023,1,3,1,3,3/1/2023 12:00:00 AM,G4,20368,G4,1199,,,,,G4,20368,G4,309NV,1199,10693,1069302,30693,BNA,15096,1509602,35096,SYR,1040,1028.0,-12.0,0.0,0.0,-1.0,1000-1059,14.0,1042.0,1306.0,4.0,1335,1310.0,-25.0,0.0,0.0,-2.0,1300-1359,0.0,,0.0,N,115.0,102.0,84.0,1.0,741.0,3,,,
G4,2023,1,3,1,3,3/1/2023 12:00:00 AM,G4,20368,G4,1200,,,,,G4,20368,G4,218NV,1200,10581,1058102,30581,BGR,14761,1476107,34761,SFB,1050,1209.0,79.0,79.0,1.0,5.0,1000-1059,23.0,1232.0,1536.0,5.0,1415,1541.0,86.0,86.0,1.0,5.0,1400-1459,0.0,,0.0,N,205.0,212.0,184.0,1.0,1299.0,6,,,
