MKT_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,BRANDED_CODE_SHARE,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,SCH_OP_UNIQUE_CARRIER,SCH_OP_CARRIER_AIRLINE_ID,SCH_OP_CARRIER,SCH_OP_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
HA,2023,2,5,1,1,5/1/2023 12:00:00 AM,HA,19690,HA,1,,,,,HA,19690,HA,N395HA,1,12892,1289208,32575,LAX,12173,1217305,32134,HNL,700,658.0,-2.0,0.0,0.0,-1.0,0700-0759,15.0,713.0,919.0,13.0,955,932.0,-23.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,N,355.0,334.0,306.0,1.0,2556.0,11,,,
HA,2023,2,5,1,1,5/1/2023 12:00:00 AM,HA,19690,HA,10,,,,,HA,19690,HA,N382HA,10,12173,1217305,32134,HNL,12892,1289208,32575,LAX,750,800.0,10.0,10.0,0.0,0.0,0700-0759,26.0,826.0,1634.0,8.0,1620,1642.0,22.0,22.0,1.0,1.0,1600-1659,0.0,,0.0,N,330.0,342.0,308.0,1.0,2556.0,11,,,
HA,2023,2,5,1,1,5/1/2023 12:00:00 AM,HA,19690,HA,101,,,,,HA,19690,HA,N492HA,101,12402,1240203,32402,ITO,12173,1217305,32134,HNL,605,601.0,-4.0,0.0,0.0,-1.0,0600-0659,11.0,612.0,648.0,9.0,658,657.0,-1.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,N,53.0,56.0,36.0,1.0,216.0,1,,,
HA,2023,2,5,1,1,5/1/2023 12:00:00 AM,HA,19690,HA,104,,,,,HA,19690,HA,N494HA,104,12982,1298202,32982,LIH,12173,1217305,32134,HNL,605,602.0,-3.0,0.0,0.0,-1.0,0600-0659,10.0,612.0,634.0,7.0,639,641.0,2.0,2.0,0.0,0.0,0600-0659,0.0,,0.0,N,34.0,39.0,22.0,1.0,102.0,1,,,
HA,2023,2,5,1,1,5/1/2023 12:00:00 AM,HA,19690,HA,105,,,,,HA,19690,HA,N488HA,105,13830,1383002,33830,OGG,12173,1217305,32134,HNL,610,607.0,-3.0,0.0,0.0,-1.0,0600-0659,8.0,615.0,637.0,8.0,648,645.0,-3.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,N,38.0,38.0,22.0,1.0,100.0,1,,,
HA,2023,2,5,1,1,5/1/2023 12:00:00 AM,HA,19690,HA,107,,,,,HA,19690,HA,N480HA,107,12758,1275804,32758,KOA,12173,1217305,32134,HNL,610,606.0,-4.0,0.0,0.0,-1.0,0600-0659,8.0,614.0,642.0,12.0,655,654.0,-1.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,N,45.0,48.0,28.0,1.0,163.0,1,,,
HA,2023,2,5,1,1,5/1/2023 12:00:00 AM,HA,19690,HA,11,,,,,HA,19690,HA,N374HA,11,14771,1477104,32457,SFO,12173,1217305,32134,HNL,915,911.0,-4.0,0.0,0.0,-1.0,0900-0959,23.0,934.0,1122.0,18.0,1150,1140.0,-10.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,N,335.0,329.0,288.0,1.0,2398.0,10,,,
HA,2023,2,5,1,1,5/1/2023 12:00:00 AM,HA,19690,HA,110,,,,,HA,19690,HA,N493HA,110,13830,1383002,33830,OGG,12402,1240203,32402,ITO,916,915.0,-1.0,0.0,0.0,-1.0,0900-0959,7.0,922.0,948.0,6.0,955,954.0,-1.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,N,39.0,39.0,26.0,1.0,121.0,1,,,
HA,2023,2,5,1,1,5/1/2023 12:00:00 AM,HA,19690,HA,116,,,,,HA,19690,HA,N487HA,116,12173,1217305,32134,HNL,13830,1383002,33830,OGG,540,539.0,-1.0,0.0,0.0,-1.0,0001-0559,13.0,552.0,613.0,6.0,620,619.0,-1.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,N,40.0,40.0,21.0,1.0,100.0,1,,,
HA,2023,2,5,1,1,5/1/2023 12:00:00 AM,HA,19690,HA,119,,,,,HA,19690,HA,N495HA,119,12402,1240203,32402,ITO,13830,1383002,33830,OGG,755,755.0,0.0,0.0,0.0,0.0,0700-0759,9.0,804.0,828.0,6.0,835,834.0,-1.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,N,40.0,39.0,24.0,1.0,121.0,1,,,
