Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,10.430000,10.520000,9.830000,9.900000,9.900000,1033400
2023-01-04,9.840000,11.120000,9.840000,11.000000,11.000000,1305500
2023-01-05,10.930000,11.500000,10.820000,11.430000,11.430000,1163000
2023-01-06,11.480000,11.820000,11.470000,11.800000,11.800000,880600
2023-01-09,11.950000,12.190000,11.820000,11.870000,11.870000,867400
2023-01-10,11.890000,12.720000,11.800000,12.720000,12.720000,952300
2023-01-11,12.600000,12.870000,12.580000,12.740000,12.740000,1009200
2023-01-12,12.970000,13.420000,12.620000,13.350000,13.350000,1293900
2023-01-13,12.910000,13.400000,12.760000,13.270000,13.270000,735600
2023-01-17,13.220000,13.280000,12.670000,12.750000,12.750000,951900
2023-01-18,12.930000,13.120000,11.990000,12.190000,12.190000,1293500
2023-01-19,12.060000,12.250000,11.830000,12.090000,12.090000,910500
2023-01-20,12.250000,12.390000,12.080000,12.280000,12.280000,698600
2023-01-23,12.280000,12.380000,12.190000,12.250000,12.250000,554900
2023-01-24,12.170000,12.320000,11.890000,11.890000,11.890000,681700
2023-01-25,11.770000,12.140000,11.640000,12.110000,12.110000,951300
2023-01-26,12.120000,12.270000,11.990000,12.220000,12.220000,930100
2023-01-27,12.160000,12.210000,11.880000,11.920000,11.920000,1053000
2023-01-30,11.820000,12.080000,11.720000,11.760000,11.760000,1459000
2023-01-31,11.830000,12.330000,11.740000,12.320000,12.320000,1908100
2023-02-01,11.450000,11.450000,10.450000,11.050000,11.050000,4698200
2023-02-02,11.220000,11.850000,11.040000,11.460000,11.460000,2246400
2023-02-03,11.200000,11.380000,10.950000,11.080000,11.080000,1738600
2023-02-06,10.950000,11.080000,10.860000,11.030000,11.030000,1383900
2023-02-07,11.050000,11.690000,10.810000,11.230000,11.230000,1780400
2023-02-08,11.230000,11.810000,11.180000,11.660000,11.660000,2039400
2023-02-09,11.710000,11.750000,10.640000,10.840000,10.840000,1984500
2023-02-10,10.700000,10.720000,10.440000,10.470000,10.470000,1191100
2023-02-13,10.460000,10.810000,10.340000,10.710000,10.710000,957900
2023-02-14,10.650000,11.050000,10.610000,10.940000,10.940000,750900
2023-02-15,10.830000,11.270000,10.830000,11.270000,11.270000,1105100
2023-02-16,11.070000,11.110000,10.520000,10.550000,10.550000,1542400
2023-02-17,10.600000,10.640000,10.360000,10.510000,10.510000,1094200
2023-02-21,10.320000,10.390000,10.030000,10.130000,10.130000,1328000
2023-02-22,10.110000,10.270000,9.950000,10.070000,10.070000,1103700
2023-02-23,10.240000,10.360000,10.060000,10.270000,10.270000,792500
2023-02-24,10.000000,10.100000,9.860000,10.070000,10.070000,847400
2023-02-27,10.270000,11.080000,10.220000,11.020000,11.020000,2373400
2023-02-28,11.000000,11.280000,10.820000,11.200000,11.200000,1073700
2023-03-01,11.220000,11.220000,10.900000,10.950000,10.950000,1064900
2023-03-02,10.850000,11.210000,10.610000,11.200000,11.200000,757600
2023-03-03,11.350000,11.410000,11.190000,11.220000,11.220000,876300
2023-03-06,11.170000,11.300000,10.640000,10.670000,10.670000,1326500
2023-03-07,10.690000,10.910000,10.510000,10.650000,10.650000,1179400
2023-03-08,10.730000,10.750000,10.430000,10.600000,10.600000,940600
2023-03-09,10.520000,10.600000,9.860000,9.880000,9.880000,1618700
2023-03-10,9.990000,10.010000,9.240000,9.640000,9.640000,5821500
2023-03-13,9.350000,9.390000,8.900000,9.040000,9.040000,2064300
2023-03-14,9.310000,9.310000,8.700000,8.840000,8.840000,1579300
2023-03-15,8.570000,8.690000,8.230000,8.440000,8.440000,1857500
2023-03-16,8.350000,8.550000,8.200000,8.390000,8.390000,2548600
2023-03-17,8.300000,8.360000,8.070000,8.100000,8.100000,2595300
2023-03-20,8.120000,8.320000,8.020000,8.070000,8.070000,1701700
2023-03-21,8.250000,8.410000,8.000000,8.070000,8.070000,1970600
2023-03-22,8.140000,8.140000,7.730000,7.730000,7.730000,1486300
2023-03-23,7.790000,7.990000,7.440000,7.580000,7.580000,1808400
2023-03-24,7.530000,7.750000,7.450000,7.750000,7.750000,1095700
2023-03-27,7.880000,7.980000,7.680000,7.870000,7.870000,1444100
