Date,Open,High,Low,Close,Adj Close,Volume
2022-10-05,6.980000,7.180000,6.900000,7.150000,7.150000,7810600
2022-10-06,7.100000,7.200000,6.910000,6.950000,6.950000,11000000
2022-10-07,6.860000,6.890000,6.510000,6.610000,6.610000,11509900
2022-10-10,6.630000,6.680000,6.440000,6.500000,6.500000,9025100
2022-10-11,6.720000,6.760000,6.280000,6.380000,6.380000,15956600
2022-10-12,6.340000,6.540000,6.210000,6.470000,6.470000,10883900
2022-10-13,6.420000,6.810000,6.310000,6.670000,6.670000,10862700
2022-10-14,6.780000,6.920000,6.620000,6.670000,6.670000,8523900
2022-10-17,6.860000,6.890000,6.690000,6.850000,6.850000,8819300
2022-10-18,7.040000,7.140000,6.910000,6.980000,6.980000,12178800
2022-10-19,7.080000,7.130000,6.800000,6.850000,6.850000,12645000
2022-10-20,6.810000,7.040000,6.750000,7.010000,7.010000,20289200
2022-10-21,6.970000,7.200000,6.910000,7.160000,7.160000,10752300
2022-10-24,7.240000,7.550000,7.170000,7.540000,7.540000,16226000
2022-10-25,7.100000,7.390000,6.880000,7.320000,7.320000,21324100
2022-10-26,7.330000,7.690000,7.270000,7.460000,7.460000,15839200
2022-10-27,7.610000,7.790000,7.570000,7.620000,7.620000,14811200
2022-10-28,7.610000,7.790000,7.590000,7.760000,7.760000,8200000
2022-10-31,7.800000,8.050000,7.690000,8.040000,8.040000,15333400
2022-11-01,8.170000,8.210000,7.960000,8.020000,8.020000,10175300
2022-11-02,7.950000,8.080000,7.720000,7.730000,7.730000,10531700
2022-11-03,7.570000,7.760000,7.450000,7.670000,7.670000,10059900
2022-11-04,7.830000,7.870000,7.510000,7.590000,7.590000,15103900
2022-11-07,7.680000,7.740000,7.400000,7.680000,7.680000,11657700
2022-11-08,7.700000,7.790000,7.590000,7.700000,7.700000,7188600
2022-11-09,7.590000,7.670000,7.320000,7.320000,7.320000,9776200
2022-11-10,7.670000,8.070000,7.660000,8.040000,8.040000,13841800
2022-11-11,8.090000,8.230000,8.010000,8.110000,8.110000,8831300
2022-11-14,8.030000,8.230000,7.960000,8.000000,8.000000,9421300
2022-11-15,8.160000,8.350000,8.110000,8.250000,8.250000,12026000
2022-11-16,8.120000,8.130000,7.900000,7.920000,7.920000,8390300
2022-11-17,7.750000,7.900000,7.680000,7.900000,7.900000,7004300
2022-11-18,8.090000,8.150000,7.800000,7.860000,7.860000,7544600
2022-11-21,7.830000,7.890000,7.650000,7.740000,7.740000,8579500
2022-11-22,7.790000,7.800000,7.640000,7.800000,7.800000,7361700
2022-11-23,7.800000,8.010000,7.770000,7.930000,7.930000,6760500
2022-11-25,7.890000,8.030000,7.860000,7.980000,7.980000,2346800
2022-11-28,7.860000,7.900000,7.650000,7.670000,7.670000,9636800
2022-11-29,7.670000,7.770000,7.660000,7.740000,7.740000,5148200
2022-11-30,7.770000,7.970000,7.610000,7.960000,7.960000,8316200
2022-12-01,7.920000,8.050000,7.860000,7.960000,7.960000,6217800
2022-12-02,7.850000,7.960000,7.750000,7.940000,7.940000,6520700
2022-12-05,7.870000,8.070000,7.820000,8.010000,8.010000,9521700
2022-12-06,8.030000,8.060000,7.850000,8.000000,8.000000,9703600
2022-12-07,7.950000,7.960000,7.630000,7.690000,7.690000,8484800
2022-12-08,7.750000,7.800000,7.380000,7.470000,7.470000,10203400
2022-12-09,7.390000,7.500000,7.350000,7.420000,7.420000,8348500
2022-12-12,7.430000,7.710000,7.390000,7.690000,7.690000,9707600
2022-12-13,7.920000,7.960000,6.910000,7.100000,7.100000,25858300
2022-12-14,7.120000,7.200000,6.920000,7.000000,7.000000,13301900
2022-12-15,6.840000,6.880000,6.730000,6.750000,6.750000,16096500
2022-12-16,6.710000,6.870000,6.620000,6.840000,6.840000,12299200
2022-12-19,6.850000,6.890000,6.530000,6.540000,6.540000,10188500
2022-12-20,6.500000,6.630000,6.460000,6.540000,6.540000,7881900
2022-12-21,6.590000,6.680000,6.560000,6.590000,6.590000,6859000
2022-12-22,6.500000,6.530000,6.230000,6.380000,6.380000,8201700
2022-12-23,6.410000,6.460000,6.280000,6.450000,6.450000,6487800
2022-12-27,6.400000,6.400000,6.190000,6.380000,6.380000,8467600
2022-12-28,6.360000,6.390000,6.180000,6.190000,6.190000,7371500
2022-12-29,6.230000,6.450000,6.220000,6.450000,6.450000,8638900
2022-12-30,6.380000,6.500000,6.340000,6.480000,6.480000,7481100
2023-01-03,6.640000,6.690000,6.400000,6.500000,6.500000,12172200
2023-01-04,6.580000,7.110000,6.560000,7.100000,7.100000,12460000
2023-01-05,7.030000,7.180000,6.970000,7.070000,7.070000,7954900
2023-01-06,7.100000,7.320000,7.070000,7.280000,7.280000,7265500
2023-01-09,7.370000,7.470000,7.300000,7.310000,7.310000,7282600
2023-01-10,7.260000,7.690000,7.230000,7.670000,7.670000,8045000
2023-01-11,7.590000,7.910000,7.580000,7.810000,7.810000,7564100
2023-01-12,7.990000,8.120000,7.850000,8.120000,8.120000,9718000
2023-01-13,7.810000,8.240000,7.770000,8.240000,8.240000,8901900
2023-01-17,8.140000,8.440000,8.100000,8.440000,8.440000,9795800
2023-01-18,8.630000,8.670000,8.310000,8.430000,8.430000,10445900
2023-01-19,8.290000,8.510000,8.200000,8.500000,8.500000,9570000
2023-01-20,8.570000,8.820000,8.520000,8.580000,8.580000,11168700
2023-01-23,8.610000,8.730000,8.550000,8.650000,8.650000,6470700
2023-01-24,8.580000,8.690000,8.420000,8.470000,8.470000,7637700
2023-01-25,8.390000,8.490000,8.320000,8.410000,8.410000,11834600
2023-01-26,8.470000,8.500000,8.000000,8.350000,8.350000,14369300
2023-01-27,8.280000,8.290000,7.970000,7.970000,7.970000,14351200
2023-01-30,7.940000,8.010000,7.820000,7.850000,7.850000,9187400
2023-01-31,7.870000,8.050000,7.800000,8.000000,8.000000,7773800
2023-02-01,7.950000,8.260000,7.870000,8.250000,8.250000,11225800
2023-02-02,8.280000,9.350000,8.280000,9.220000,9.220000,26474100
2023-02-03,9.050000,9.090000,8.690000,8.730000,8.730000,10932400
2023-02-06,8.630000,8.710000,8.570000,8.630000,8.630000,7019100
2023-02-07,8.630000,8.860000,8.540000,8.810000,8.810000,7770000
2023-02-08,8.740000,8.810000,8.600000,8.680000,8.680000,7190600
2023-02-09,8.790000,8.850000,8.410000,8.490000,8.490000,8239500
2023-02-10,8.350000,8.410000,8.230000,8.320000,8.320000,5932300
2023-02-13,8.320000,8.590000,8.250000,8.540000,8.540000,7245600
2023-02-14,8.530000,8.770000,8.440000,8.700000,8.700000,8007700
2023-02-15,8.640000,8.770000,8.560000,8.770000,8.770000,4672300
2023-02-16,8.660000,8.730000,8.500000,8.630000,8.630000,5533600
2023-02-17,8.600000,8.640000,8.440000,8.620000,8.620000,4906300
2023-02-21,8.450000,8.500000,8.140000,8.210000,8.210000,6202300
2023-02-22,8.200000,8.370000,8.120000,8.200000,8.200000,6251300
2023-02-23,8.320000,8.360000,8.140000,8.270000,8.270000,5290400
2023-02-24,8.100000,8.150000,7.960000,8.150000,8.150000,5965100
2023-02-27,8.320000,8.420000,8.240000,8.270000,8.270000,5819900
2023-02-28,8.240000,8.400000,8.200000,8.300000,8.300000,5005200
2023-03-01,8.310000,8.370000,8.160000,8.250000,8.250000,5176700
2023-03-02,8.150000,8.330000,8.070000,8.320000,8.320000,5137000
2023-03-03,8.430000,8.450000,8.280000,8.320000,8.320000,4687200
2023-03-06,8.360000,8.670000,8.310000,8.400000,8.400000,11515300
2023-03-07,8.460000,8.570000,8.120000,8.160000,8.160000,8411000
2023-03-08,8.200000,8.210000,7.930000,8.060000,8.060000,8690500
2023-03-09,8.050000,8.160000,7.670000,7.670000,7.670000,8368900
2023-03-10,7.740000,7.750000,7.320000,7.530000,7.530000,12886100
2023-03-13,7.290000,7.350000,6.950000,7.090000,7.090000,12587400
2023-03-14,7.450000,7.510000,7.050000,7.170000,7.170000,11047700
2023-03-15,6.910000,7.060000,6.780000,6.920000,6.920000,14265600
2023-03-16,6.960000,7.180000,6.810000,7.100000,7.100000,11075600
2023-03-17,6.960000,7.060000,6.840000,6.920000,6.920000,9754600
2023-03-20,6.940000,7.020000,6.800000,6.810000,6.810000,6853700
2023-03-21,6.950000,7.070000,6.900000,6.950000,6.950000,8271200
2023-03-22,6.970000,6.990000,6.710000,6.730000,6.730000,7052400
2023-03-23,6.860000,6.910000,6.560000,6.630000,6.630000,7779700
2023-03-24,6.550000,6.730000,6.460000,6.700000,6.700000,9149900
2023-03-27,6.830000,6.880000,6.710000,6.820000,6.820000,6193400
2023-03-28,6.800000,6.940000,6.760000,6.920000,6.920000,5459900
2023-03-29,7.040000,7.100000,6.960000,7.100000,7.100000,5402000
2023-03-30,7.190000,7.280000,7.080000,7.100000,7.100000,6448000
2023-03-31,7.190000,7.320000,7.170000,7.280000,7.280000,6071500
2023-04-03,7.140000,7.190000,7.010000,7.170000,7.170000,8605700
2023-04-04,7.240000,7.240000,6.950000,7.040000,7.040000,6628600
2023-04-05,6.970000,6.990000,6.820000,6.900000,6.900000,7773600
2023-04-06,6.910000,7.000000,6.850000,6.920000,6.920000,4866100
2023-04-10,6.910000,7.080000,6.830000,7.070000,7.070000,6857300
2023-04-11,7.100000,7.300000,7.070000,7.220000,7.220000,6488300
2023-04-12,7.210000,7.220000,6.900000,6.950000,6.950000,10257400
2023-04-13,7.080000,7.080000,6.890000,6.950000,6.950000,6438400
2023-04-14,6.960000,6.980000,6.760000,6.790000,6.790000,8041800
2023-04-17,6.820000,6.900000,6.730000,6.800000,6.800000,8682300
2023-04-18,6.840000,6.920000,6.700000,6.900000,6.900000,9235800
2023-04-19,6.810000,7.020000,6.770000,7.000000,7.000000,7597800
2023-04-20,6.910000,6.980000,6.750000,6.780000,6.780000,7665100
2023-04-21,6.800000,6.940000,6.760000,6.920000,6.920000,10539400
2023-04-24,6.960000,6.990000,6.750000,6.820000,6.820000,11315900
2023-04-25,6.930000,7.200000,6.740000,6.780000,6.780000,17337100
2023-04-26,6.820000,7.070000,6.770000,6.880000,6.880000,12518200
2023-04-27,6.980000,6.980000,6.740000,6.950000,6.950000,9238500
2023-04-28,6.960000,7.190000,6.950000,7.140000,7.140000,10397600
2023-05-01,7.040000,7.150000,6.910000,7.050000,7.050000,10085100
2023-05-02,7.010000,7.100000,6.850000,7.100000,7.100000,10213700
2023-05-03,7.100000,7.220000,7.050000,7.070000,7.070000,11465100
2023-05-04,7.040000,7.050000,6.760000,6.800000,6.800000,11204000
2023-05-05,6.900000,7.090000,6.850000,7.020000,7.020000,8853900
2023-05-08,7.030000,7.150000,7.020000,7.070000,7.070000,7757900
2023-05-09,7.020000,7.050000,6.900000,7.010000,7.010000,5953900
2023-05-10,7.110000,7.140000,6.820000,6.940000,6.940000,8521700
2023-05-11,6.910000,6.940000,6.790000,6.850000,6.850000,8309300
2023-05-12,6.890000,6.910000,6.700000,6.740000,6.740000,7558700
2023-05-15,6.730000,6.940000,6.710000,6.930000,6.930000,8292900
2023-05-16,6.880000,6.960000,6.810000,6.810000,6.810000,5529400
2023-05-17,6.890000,7.270000,6.850000,7.220000,7.220000,13585900
2023-05-18,7.220000,7.240000,7.090000,7.220000,7.220000,7137600
2023-05-19,7.220000,7.230000,7.020000,7.090000,7.090000,10190100
2023-05-22,7.090000,7.160000,6.870000,6.940000,6.940000,10749700
2023-05-23,6.940000,7.170000,6.880000,6.880000,6.880000,10347800
2023-05-24,6.860000,6.860000,6.680000,6.760000,6.760000,11488300
2023-05-25,6.800000,6.940000,6.770000,6.830000,6.830000,10005500
2023-05-26,6.850000,6.960000,6.800000,6.830000,6.830000,8022800
2023-05-30,6.890000,6.920000,6.780000,6.810000,6.810000,7663500
2023-05-31,6.850000,6.880000,6.700000,6.830000,6.830000,13261000
2023-06-01,6.830000,6.970000,6.770000,6.830000,6.830000,9114300
2023-06-02,6.940000,7.230000,6.900000,7.180000,7.180000,13621100
2023-06-05,7.150000,7.150000,6.960000,6.980000,6.980000,8482500
2023-06-06,6.950000,7.410000,6.870000,7.400000,7.400000,10344900
2023-06-07,7.440000,7.490000,7.350000,7.420000,7.420000,9700600
2023-06-08,7.400000,7.510000,7.250000,7.420000,7.420000,6612600
2023-06-09,7.480000,7.550000,7.420000,7.470000,7.470000,11078200
2023-06-12,7.550000,7.820000,7.540000,7.720000,7.720000,8632700
2023-06-13,7.800000,7.870000,7.750000,7.840000,7.840000,9690900
2023-06-14,7.890000,8.080000,7.870000,8.030000,8.030000,11862800
2023-06-15,7.950000,8.080000,7.910000,8.000000,8.000000,7521200
2023-06-16,8.080000,8.120000,7.960000,8.060000,8.060000,11264400
2023-06-20,8.010000,8.110000,7.900000,8.110000,8.110000,7833900
2023-06-21,8.050000,8.210000,7.960000,8.140000,8.140000,9279800
2023-06-22,8.100000,8.180000,7.980000,8.100000,8.100000,9603000
2023-06-23,7.950000,8.040000,7.860000,7.940000,7.940000,51121000
2023-06-26,7.900000,8.170000,7.870000,8.050000,8.050000,14414700
2023-06-27,8.090000,8.850000,8.060000,8.760000,8.760000,21370200
2023-06-28,8.770000,8.870000,8.640000,8.730000,8.730000,13127000
2023-06-29,8.780000,8.900000,8.690000,8.760000,8.760000,10709400
2023-06-30,8.850000,8.950000,8.800000,8.860000,8.860000,9302600
2023-07-03,8.880000,9.080000,8.850000,9.000000,9.000000,4375300
2023-07-05,8.950000,9.450000,8.870000,9.330000,9.330000,12013700
2023-07-06,9.130000,9.160000,8.630000,8.660000,8.660000,16600500
2023-07-07,8.680000,9.050000,8.680000,8.930000,8.930000,9228000
