UNIQUE_CARRIER,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
C5,0.0,1.0,0.0,50.0,0.0,0.0,0.0,103.0,39.0,27.0,20445,CommuteAir LLC dba CommuteAir,6944,D,C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,14237,1423706,34237,PRC,"Prescott, AZ",AZ,4,Arizona,81,10466,1046602,30466,AZA,"Phoenix, AZ",AZ,4,Arizona,81,6,675,1,2021,4,10,1,L
C5,0.0,1.0,0.0,50.0,0.0,0.0,0.0,438.0,97.0,71.0,20445,CommuteAir LLC dba CommuteAir,6944,D,C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,15919,1591904,31834,XNA,"Fayetteville, AR",AR,5,Arkansas,71,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,6,675,1,2021,4,10,1,L
C5,0.0,1.0,0.0,50.0,0.0,0.0,0.0,557.0,144.0,76.0,20445,CommuteAir LLC dba CommuteAir,6944,D,C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14237,1423706,34237,PRC,"Prescott, AZ",AZ,4,Arizona,81,6,675,1,2021,4,10,2,L
C5,0.0,1.0,0.0,50.0,0.0,0.0,0.0,595.0,85.0,73.0,20445,CommuteAir LLC dba CommuteAir,6944,D,C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,10466,1046602,30466,AZA,"Phoenix, AZ",AZ,4,Arizona,81,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,675,1,2021,4,10,2,L
C5,0.0,1.0,0.0,50.0,0.0,0.0,0.0,642.0,114.0,92.0,20445,CommuteAir LLC dba CommuteAir,6944,D,C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,10216,1021605,30216,AHN,"Athens, GA",GA,13,Georgia,34,15919,1591904,31834,XNA,"Fayetteville, AR",AR,5,Arkansas,71,6,675,1,2021,4,10,2,L
C5,0.0,1.0,0.0,50.0,0.0,0.0,0.0,756.0,127.0,101.0,20445,CommuteAir LLC dba CommuteAir,6944,D,C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,10216,1021605,30216,AHN,"Athens, GA",GA,13,Georgia,34,6,675,1,2021,4,10,2,L
C5,0.0,1.0,10000.0,50.0,0.0,0.0,0.0,303.0,53.0,44.0,20445,CommuteAir LLC dba CommuteAir,06944,D,C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,12896,1289607,32896,LBB,"Lubbock, TX",TX,48,Texas,74,10155,1015502,30155,ACT,"Waco, TX",TX,48,Texas,74,6,675,1,2021,1,1,1,L
C5,0.0,1.0,10000.0,50.0,0.0,0.0,0.0,303.0,67.0,54.0,20445,CommuteAir LLC dba CommuteAir,06944,D,C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,10155,1015502,30155,ACT,"Waco, TX",TX,48,Texas,74,12896,1289607,32896,LBB,"Lubbock, TX",TX,48,Texas,74,6,675,1,2021,1,1,1,L
C5,0.0,1.0,10000.0,50.0,0.0,0.0,0.0,319.0,74.0,52.0,20445,CommuteAir LLC dba CommuteAir,06944,D,C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,12896,1289607,32896,LBB,"Lubbock, TX",TX,48,Texas,74,15074,1507402,35074,SWO,"Stillwater, OK",OK,40,Oklahoma,73,6,675,1,2021,1,1,1,L
C5,0.0,1.0,10000.0,50.0,0.0,0.0,0.0,458.0,126.0,78.0,20445,CommuteAir LLC dba CommuteAir,06944,D,C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,12896,1289607,32896,LBB,"Lubbock, TX",TX,48,Texas,74,6,675,1,2021,1,1,1,L
