UNIQUE_CARRIER,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
MQ,0.0,1.0,19730.0,76.0,2.0,0.0,0.0,1051.0,194.0,178.0,20398,Envoy Air,06820,D,MQ,Envoy Air,3,3,11641,1164102,31641,FAY,"Fayetteville, NC",NC,37,North Carolina,36,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,6,673,1,2021,1,2,3,L
MQ,0.0,1.0,19730.0,76.0,59.0,0.0,0.0,814.0,134.0,113.0,20398,Envoy Air,06820,D,MQ,Envoy Air,3,3,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,6,673,1,2021,2,6,2,L
MQ,0.0,1.0,19730.0,76.0,66.0,0.0,0.0,814.0,133.0,116.0,20398,Envoy Air,06820,D,MQ,Envoy Air,3,3,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,6,673,1,2021,2,6,2,L
MQ,0.0,1.0,19730.0,76.0,75.0,0.0,0.0,1020.0,152.0,120.0,20398,Envoy Air,06820,D,MQ,Envoy Air,3,3,11648,1164802,31648,FCA,"Kalispell, MT",MT,30,Montana,84,13871,1387102,33316,OMA,"Omaha, NE",NE,31,Nebraska,65,6,673,1,2021,1,2,3,L
MQ,0.0,1.0,19730.0,76.0,75.0,0.0,0.0,1020.0,174.0,149.0,20398,Envoy Air,06820,D,MQ,Envoy Air,3,3,13871,1387102,33316,OMA,"Omaha, NE",NE,31,Nebraska,65,11648,1164802,31648,FCA,"Kalispell, MT",MT,30,Montana,84,6,673,1,2021,1,2,3,L
MQ,0.0,1.0,19730.0,76.0,75.0,0.0,0.0,1021.0,155.0,141.0,20398,Envoy Air,06820,D,MQ,Envoy Air,3,3,11641,1164102,31641,FAY,"Fayetteville, NC",NC,37,North Carolina,36,13871,1387102,33316,OMA,"Omaha, NE",NE,31,Nebraska,65,6,673,1,2021,1,2,3,L
MQ,0.0,1.0,19730.0,76.0,75.0,400.0,0.0,1051.0,149.0,126.0,20398,Envoy Air,06820,D,MQ,Envoy Air,3,3,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11641,1164102,31641,FAY,"Fayetteville, NC",NC,37,North Carolina,36,6,673,1,2021,1,2,3,L
MQ,0.0,1.0,19730.0,76.0,76.0,0.0,0.0,1021.0,148.0,121.0,20398,Envoy Air,06820,D,MQ,Envoy Air,3,3,13871,1387102,33316,OMA,"Omaha, NE",NE,31,Nebraska,65,11641,1164102,31641,FAY,"Fayetteville, NC",NC,37,North Carolina,36,6,673,1,2021,1,2,3,L
MQ,1.0,1.0,10090.0,44.0,4.0,0.0,0.0,79.0,41.0,19.0,20398,Envoy Air,06820,D,MQ,Envoy Air,3,3,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,10728,1072804,30728,BPT,"Beaumont/Port Arthur, TX",TX,48,Texas,74,6,676,1,2021,1,1,1,F
MQ,1.0,1.0,10090.0,44.0,7.0,0.0,0.0,383.0,76.0,58.0,20398,Envoy Air,06820,D,MQ,Envoy Air,3,3,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,10781,1078105,30781,BTR,"Baton Rouge, LA",LA,22,Louisiana,72,6,676,1,2021,1,3,1,F
