UNIQUE_CARRIER,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
NK,1.0,1.0,29000.0,145.0,8.0,0.0,0.0,1536.0,243.0,199.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,14843,1484306,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3,10158,1015804,30158,ACY,"Atlantic City, NJ",NJ,34,New Jersey,21,6,698,1,2021,4,10,4,F
NK,1.0,1.0,29000.0,145.0,26.0,0.0,0.0,475.0,81.0,63.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,13577,1357702,31135,MYR,"Myrtle Beach, SC",SC,45,South Carolina,37,6,698,1,2021,1,3,1,F
NK,1.0,1.0,29000.0,145.0,26.0,0.0,0.0,1536.0,232.0,219.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,10158,1015804,30158,ACY,"Atlantic City, NJ",NJ,34,New Jersey,21,14843,1484306,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3,6,698,1,2021,4,10,4,F
NK,1.0,1.0,29000.0,145.0,27.0,0.0,0.0,577.0,108.0,91.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,6,698,1,2021,3,9,2,F
NK,1.0,1.0,29000.0,145.0,29.0,0.0,0.0,36.0,36.0,16.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91,6,698,1,2021,4,10,1,F
NK,1.0,1.0,29000.0,145.0,29.0,0.0,0.0,370.0,106.0,91.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,6,698,1,2021,4,10,1,F
NK,1.0,1.0,29000.0,145.0,29.0,0.0,0.0,1075.0,207.0,154.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,6,698,1,2021,1,2,3,F
NK,1.0,1.0,29000.0,145.0,29.0,0.0,0.0,1262.0,202.0,168.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,13296,1329604,30721,MHT,"Manchester, NH",NH,33,New Hampshire,14,6,698,1,2021,4,10,3,F
NK,1.0,1.0,29000.0,145.0,32.0,0.0,0.0,787.0,123.0,103.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,6,698,1,2021,2,6,2,F
NK,1.0,1.0,29000.0,145.0,35.0,0.0,0.0,223.0,54.0,39.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,6,698,1,2021,1,2,1,F
NK,1.0,1.0,29000.0,145.0,37.0,0.0,0.0,686.0,124.0,103.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,11146,1114607,31146,CRW,"Charleston/Dunbar, WV",WV,54,West Virginia,39,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,6,698,1,2021,3,8,2,F
NK,1.0,1.0,29000.0,145.0,37.0,0.0,0.0,882.0,166.0,124.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,15016,1501606,31123,STL,"St. Louis, MO",MO,29,Missouri,64,6,698,1,2021,4,11,2,F
NK,1.0,1.0,29000.0,145.0,40.0,0.0,0.0,563.0,97.0,78.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,13577,1357702,31135,MYR,"Myrtle Beach, SC",SC,45,South Carolina,37,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,6,698,1,2021,3,7,2,F
NK,1.0,1.0,29000.0,145.0,42.0,0.0,0.0,105.0,55.0,30.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,6,698,1,2021,3,9,1,F
NK,1.0,1.0,29000.0,145.0,42.0,0.0,0.0,466.0,78.0,64.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,13577,1357702,31135,MYR,"Myrtle Beach, SC",SC,45,South Carolina,37,10158,1015804,30158,ACY,"Atlantic City, NJ",NJ,34,New Jersey,21,6,698,1,2021,1,3,1,F
NK,1.0,1.0,29000.0,145.0,42.0,0.0,0.0,835.0,235.0,211.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,14730,1473004,33044,SDF,"Louisville, KY",KY,21,Kentucky,52,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33,6,698,1,2021,3,9,2,F
NK,1.0,1.0,29000.0,145.0,43.0,0.0,0.0,604.0,103.0,87.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,14193,1419306,33728,PNS,"Pensacola, FL",FL,12,Florida,33,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,6,698,1,2021,2,6,2,F
NK,1.0,1.0,29000.0,145.0,43.0,0.0,0.0,980.0,136.0,120.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,12898,1289806,32898,LBE,"Latrobe, PA",PA,42,Pennsylvania,23,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,6,698,1,2021,1,1,2,F
NK,1.0,1.0,29000.0,145.0,45.0,0.0,0.0,529.0,156.0,73.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,13577,1357702,31135,MYR,"Myrtle Beach, SC",SC,45,South Carolina,37,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,6,698,1,2021,3,8,2,F
NK,1.0,1.0,29000.0,145.0,47.0,0.0,0.0,563.0,106.0,0.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,13577,1357702,31135,MYR,"Myrtle Beach, SC",SC,45,South Carolina,37,6,698,1,2021,3,7,2,F
NK,1.0,1.0,29000.0,145.0,48.0,0.0,0.0,455.0,82.0,65.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,12898,1289806,32898,LBE,"Latrobe, PA",PA,42,Pennsylvania,23,13577,1357702,31135,MYR,"Myrtle Beach, SC",SC,45,South Carolina,37,6,698,1,2021,1,3,1,F
NK,1.0,1.0,29000.0,145.0,48.0,0.0,0.0,801.0,117.0,97.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,6,698,1,2021,2,5,2,F
NK,1.0,1.0,29000.0,145.0,48.0,0.0,0.0,1514.0,202.0,187.0,20416,Spirit Air Lines,06830,D,NK,Spirit Air Lines,3,3,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,6,698,1,2021,4,10,4,F
