UNIQUE_CARRIER,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
OH,1.0,1.0,17600.0,63.0,28.0,0.0,0.0,122.0,51.0,35.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,14098,1409803,33667,PHF,"Newport News/Williamsburg, VA",VA,51,Virginia,38,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,6,631,1,2021,2,5,1,F
OH,1.0,1.0,17600.0,63.0,53.0,0.0,0.0,74.0,58.0,20.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,12323,1232305,32323,ILM,"Wilmington, NC",NC,37,North Carolina,36,11617,1161708,31617,EWN,"New Bern/Morehead/Beaufort, NC",NC,37,North Carolina,36,6,631,1,2021,2,5,1,F
OH,1.0,1.0,17600.0,65.0,0.0,0.0,0.0,124.0,44.0,28.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,10781,1078105,30781,BTR,"Baton Rouge, LA",LA,22,Louisiana,72,11973,1197302,31973,GPT,"Gulfport/Biloxi, MS",MS,28,Mississippi,53,6,631,1,2021,1,3,1,F
OH,1.0,1.0,17600.0,65.0,0.0,0.0,0.0,212.0,63.0,45.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,10257,1025702,30257,ALB,"Albany, NY",NY,36,New York,22,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,6,631,1,2021,1,1,1,F
OH,1.0,1.0,17600.0,65.0,0.0,0.0,0.0,651.0,135.0,94.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,13342,1334207,33342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,6,631,1,2021,3,8,2,F
OH,1.0,1.0,17600.0,65.0,0.0,375.0,0.0,547.0,126.0,83.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,14986,1498603,34986,SRQ,"Sarasota/Bradenton, FL",FL,12,Florida,33,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,6,631,1,2021,1,3,2,F
OH,1.0,1.0,17600.0,65.0,2.0,31.0,0.0,842.0,116.0,102.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,15370,1537002,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,6,631,1,2021,3,9,2,F
OH,1.0,1.0,17600.0,65.0,3.0,50.0,0.0,940.0,137.0,123.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,6,631,1,2021,3,8,2,F
OH,1.0,1.0,17600.0,65.0,4.0,0.0,0.0,651.0,128.0,93.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,13342,1334207,33342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,6,631,1,2021,4,10,2,F
OH,1.0,1.0,17600.0,65.0,4.0,0.0,0.0,936.0,194.0,143.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,6,631,1,2021,4,11,2,F
OH,1.0,1.0,17600.0,65.0,5.0,0.0,0.0,683.0,116.0,100.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,14307,1430705,30721,PVD,"Providence, RI",RI,44,Rhode Island,15,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,6,631,1,2021,4,10,2,F
OH,1.0,1.0,17600.0,65.0,6.0,0.0,0.0,619.0,93.0,85.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,11146,1114607,31146,CRW,"Charleston/Dunbar, WV",WV,54,West Virginia,39,13296,1329604,30721,MHT,"Manchester, NH",NH,33,New Hampshire,14,6,631,1,2021,2,6,2,F
OH,1.0,1.0,17600.0,65.0,7.0,0.0,0.0,116.0,47.0,29.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,14685,1468502,34685,SAV,"Savannah, GA",GA,13,Georgia,34,12451,1245102,31136,JAX,"Jacksonville, FL",FL,12,Florida,33,6,631,1,2021,4,11,1,F
OH,1.0,1.0,17600.0,65.0,8.0,0.0,0.0,133.0,78.0,32.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,15096,1509602,35096,SYR,"Syracuse, NY",NY,36,New York,22,10792,1079206,30792,BUF,"Buffalo, NY",NY,36,New York,22,6,631,1,2021,4,12,1,F
OH,1.0,1.0,17600.0,65.0,10.0,0.0,0.0,241.0,75.0,44.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,10980,1098002,30980,CHA,"Chattanooga, TN",TN,47,Tennessee,54,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,6,631,1,2021,4,12,1,F
OH,1.0,1.0,17600.0,65.0,11.0,0.0,0.0,391.0,134.0,114.0,20397,PSA Airlines Inc.,07028,D,OH,PSA Airlines Inc.,2,2,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,11267,1126702,31267,DAY,"Dayton, OH",OH,39,Ohio,44,6,631,1,2021,1,2,1,F
