UNIQUE_CARRIER,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
QX,0.0,1.0,17400.0,76.0,69.0,0.0,0.0,543.0,101.0,85.0,19687,Horizon Air,06580,D,QX,Horizon Air,2,2,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,13796,1379608,32457,OAK,"Oakland, CA",CA,6,California,91,4,482,1,2021,4,12,2,F
QX,0.0,1.0,17400.0,76.0,70.0,1.0,0.0,222.0,62.0,42.0,19687,Horizon Air,06580,D,QX,Horizon Air,2,2,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,13264,1326403,33264,MFR,"Medford, OR",OR,41,Oregon,92,4,482,1,2021,4,12,1,F
QX,0.0,1.0,17400.0,76.0,71.0,0.0,0.0,543.0,153.0,126.0,19687,Horizon Air,06580,D,QX,Horizon Air,2,2,13796,1379608,32457,OAK,"Oakland, CA",CA,6,California,91,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,4,482,1,2021,4,12,2,F
QX,0.0,1.0,17400.0,76.0,72.0,0.0,0.0,437.0,87.0,70.0,19687,Horizon Air,06580,D,QX,Horizon Air,2,2,14893,1489302,33192,SMF,"Sacramento, CA",CA,6,California,91,10713,1071302,30713,BOI,"Boise, ID",ID,16,Idaho,83,4,482,1,2021,4,12,1,F
QX,0.0,1.0,17400.0,76.0,74.0,0.0,0.0,437.0,130.0,110.0,19687,Horizon Air,06580,D,QX,Horizon Air,2,2,10713,1071302,30713,BOI,"Boise, ID",ID,16,Idaho,83,14893,1489302,33192,SMF,"Sacramento, CA",CA,6,California,91,4,482,1,2021,4,12,1,F
QX,0.0,1.0,17500.0,76.0,36.0,49.0,0.0,543.0,115.0,96.0,19687,Horizon Air,06580,D,QX,Horizon Air,2,2,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,13796,1379608,32457,OAK,"Oakland, CA",CA,6,California,91,4,482,1,2021,3,9,2,F
QX,0.0,1.0,17500.0,76.0,40.0,0.0,0.0,106.0,44.0,29.0,19687,Horizon Air,06580,D,QX,Horizon Air,2,2,11603,1160302,31603,EUG,"Eugene, OR",OR,41,Oregon,92,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,4,482,1,2021,4,10,1,F
QX,0.0,1.0,17500.0,76.0,46.0,0.0,0.0,271.0,71.0,46.0,19687,Horizon Air,06580,D,QX,Horizon Air,2,2,11884,1188402,31884,GEG,"Spokane, WA",WA,53,Washington,93,12156,1215605,32156,HLN,"Helena, MT",MT,30,Montana,84,4,482,1,2021,4,12,1,F
QX,0.0,1.0,17500.0,76.0,52.0,0.0,0.0,156.0,49.0,33.0,19687,Horizon Air,06580,D,QX,Horizon Air,2,2,14489,1448902,34489,RDM,"Bend/Redmond, OR",OR,41,Oregon,92,13264,1326403,33264,MFR,"Medford, OR",OR,41,Oregon,92,4,482,1,2021,4,11,1,F
QX,0.0,1.0,17500.0,76.0,59.0,0.0,0.0,543.0,121.0,104.0,19687,Horizon Air,06580,D,QX,Horizon Air,2,2,13796,1379608,32457,OAK,"Oakland, CA",CA,6,California,91,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,4,482,1,2021,3,9,2,F
QX,0.0,1.0,17500.0,76.0,63.0,0.0,0.0,445.0,86.0,74.0,19687,Horizon Air,06580,D,QX,Horizon Air,2,2,11884,1188402,31884,GEG,"Spokane, WA",WA,53,Washington,93,10620,1062003,30620,BIL,"Billings, MT",MT,30,Montana,84,4,482,1,2021,4,10,1,F
