UNIQUE_CARRIER,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
AS,0.0,1.0,32800.0,124.0,55.0,932.0,0.0,548.0,97.0,78.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,10299,1029906,30299,ANC,"Anchorage, AK",AK,2,Alaska,1,13970,1397005,33970,OTZ,"Kotzebue, AK",AK,2,Alaska,1,6,612,1,2022,3,8,2,F
AS,0.0,1.0,32800.0,124.0,87.0,888.0,0.0,861.0,142.0,111.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,14828,1482805,34828,SIT,"Sitka, AK",AK,2,Alaska,1,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,6,612,1,2022,3,9,2,F
AS,0.0,1.0,32800.0,124.0,88.0,921.0,0.0,861.0,141.0,119.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,14828,1482805,34828,SIT,"Sitka, AK",AK,2,Alaska,1,6,612,1,2022,3,9,2,F
AS,0.0,1.0,32800.0,124.0,115.0,354.0,0.0,1092.0,176.0,146.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,15991,1599102,35991,YAK,"Yakutat, AK",AK,2,Alaska,1,6,612,1,2022,1,1,3,F
AS,0.0,1.0,32900.0,124.0,0.0,54.0,5120.0,909.0,151.0,125.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12523,1252306,32523,JNU,"Juneau, AK",AK,2,Alaska,1,6,612,1,2022,4,12,2,G
AS,0.0,1.0,32900.0,124.0,0.0,255.0,0.0,1448.0,191.0,174.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,10299,1029906,30299,ANC,"Anchorage, AK",AK,2,Alaska,1,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,6,612,1,2022,4,12,3,G
AS,0.0,1.0,32900.0,124.0,0.0,366.0,0.0,571.0,118.0,81.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,12523,1252306,32523,JNU,"Juneau, AK",AK,2,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,2,Alaska,1,6,612,1,2022,4,12,2,G
AS,0.0,1.0,33100.0,124.0,0.0,0.0,0.0,153.0,50.0,35.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,15841,1584102,35841,WRG,"Wrangell, AK",AK,2,Alaska,1,12523,1252306,32523,JNU,"Juneau, AK",AK,2,Alaska,1,6,612,1,2022,3,9,1,G
AS,0.0,1.0,33100.0,124.0,0.0,0.0,55.0,1192.0,159.0,149.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,10165,1016506,30165,ADK,"Adak Island, AK",AK,2,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,2,Alaska,1,6,612,1,2022,2,4,3,G
AS,0.0,1.0,33100.0,124.0,0.0,416.0,213.0,775.0,142.0,121.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,12819,1281902,31401,KTN,"Ketchikan, AK",AK,2,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,2,Alaska,1,6,612,1,2022,1,2,2,F
AS,0.0,1.0,33100.0,124.0,0.0,518.0,0.0,571.0,112.0,88.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,12523,1252306,32523,JNU,"Juneau, AK",AK,2,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,2,Alaska,1,6,612,1,2022,3,9,2,G
AS,0.0,1.0,33100.0,124.0,0.0,1973.0,0.0,1192.0,177.0,161.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,10299,1029906,30299,ANC,"Anchorage, AK",AK,2,Alaska,1,10165,1016506,30165,ADK,"Adak Island, AK",AK,2,Alaska,1,6,612,1,2022,2,4,3,G
AS,0.0,1.0,33100.0,124.0,0.0,10256.0,0.0,1092.0,183.0,147.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,15991,1599102,35991,YAK,"Yakutat, AK",AK,2,Alaska,1,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,6,612,1,2022,3,9,3,G
AS,0.0,1.0,33100.0,124.0,10.0,17.0,0.0,775.0,137.0,107.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,12819,1281902,31401,KTN,"Ketchikan, AK",AK,2,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,2,Alaska,1,6,612,1,2022,1,1,2,F
AS,0.0,1.0,33100.0,124.0,12.0,1356.0,0.0,411.0,77.0,69.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,10926,1092603,30913,CDV,"Cordova, AK",AK,2,Alaska,1,12523,1252306,32523,JNU,"Juneau, AK",AK,2,Alaska,1,6,612,1,2022,1,3,1,F
AS,0.0,1.0,33100.0,124.0,13.0,567.0,4.0,231.0,51.0,38.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,15991,1599102,35991,YAK,"Yakutat, AK",AK,2,Alaska,1,14828,1482805,34828,SIT,"Sitka, AK",AK,2,Alaska,1,6,612,1,2022,4,12,1,F
AS,0.0,1.0,33100.0,124.0,30.0,254.0,0.0,411.0,66.0,58.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,10926,1092603,30913,CDV,"Cordova, AK",AK,2,Alaska,1,12523,1252306,32523,JNU,"Juneau, AK",AK,2,Alaska,1,6,612,1,2022,1,2,1,F
AS,0.0,1.0,33100.0,124.0,31.0,28.0,0.0,329.0,53.0,44.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,11336,1133602,31336,DLG,"Dillingham, AK",AK,2,Alaska,1,10299,1029906,30299,ANC,"Anchorage, AK",AK,2,Alaska,1,6,612,1,2022,4,10,1,F
AS,0.0,1.0,33100.0,124.0,45.0,585.0,0.0,1092.0,225.0,184.0,19930.0,Alaska Airlines Inc.,06031,D,AS,Alaska Airlines Inc.,3,3.0,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,15991,1599102,35991,YAK,"Yakutat, AK",AK,2,Alaska,1,6,612,1,2022,2,4,3,F
