UNIQUE_CARRIER,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
B6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,0.0,0.0,20409.0,JetBlue Airways,6673,D,B6,JetBlue Airways,3,3.0,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,6,678,1,2022,4,10,2,F
B6,0.0,1.0,25000.0,100.0,0.0,0.0,0.0,126.0,50.0,33.0,20409.0,JetBlue Airways,06673,D,B6,JetBlue Airways,3,3.0,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,11624,1162403,31624,EYW,"Key West, FL",FL,12,Florida,33,6,678,1,2022,1,2,1,F
B6,0.0,1.0,25000.0,100.0,0.0,0.0,0.0,133.0,74.0,51.0,20409.0,JetBlue Airways,06673,D,B6,JetBlue Airways,3,3.0,15096,1509602,35096,SYR,"Syracuse, NY",NY,36,New York,22,10792,1079206,30792,BUF,"Buffalo, NY",NY,36,New York,22,6,678,1,2022,3,9,1,L
B6,0.0,1.0,25000.0,100.0,1.0,0.0,0.0,95.0,99.0,77.0,20409.0,JetBlue Airways,06673,D,B6,JetBlue Airways,3,3.0,14321,1432105,34321,PWM,"Portland, ME",ME,23,Maine,12,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,6,678,1,2022,3,7,1,F
B6,0.0,1.0,25000.0,100.0,3.0,0.0,0.0,166.0,70.0,44.0,20409.0,JetBlue Airways,06673,D,B6,JetBlue Airways,3,3.0,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,12197,1219702,31703,HPN,"White Plains, NY",NY,36,New York,22,6,678,1,2022,2,6,1,F
B6,0.0,1.0,25000.0,100.0,5.0,0.0,0.0,68.0,40.0,20.0,20409.0,JetBlue Airways,16673,L,B6,JetBlue Airways,3,3.0,14843,1484306,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3,15024,1502403,34945,STT,"Charlotte Amalie, VI",VI,78,U.S. Virgin Islands,4,6,678,1,2022,3,9,1,F
B6,0.0,1.0,25000.0,100.0,8.0,0.0,0.0,11.0,85.0,16.0,20409.0,JetBlue Airways,06673,D,B6,JetBlue Airways,3,3.0,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,6,678,1,2022,2,6,1,F
B6,0.0,1.0,25000.0,100.0,14.0,0.0,0.0,101.0,216.0,135.0,20409.0,JetBlue Airways,06673,D,B6,JetBlue Airways,3,3.0,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,10529,1052906,30529,BDL,"Hartford, CT",CT,9,Connecticut,11,6,678,1,2022,3,8,1,F
B6,0.0,1.0,25000.0,100.0,14.0,0.0,0.0,144.0,48.0,33.0,20409.0,JetBlue Airways,06673,D,B6,JetBlue Airways,3,3.0,12451,1245102,31136,JAX,"Jacksonville, FL",FL,12,Florida,33,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,6,678,1,2022,1,3,1,F
B6,0.0,1.0,25000.0,100.0,24.0,0.0,0.0,11.0,68.0,15.0,20409.0,JetBlue Airways,06673,D,B6,JetBlue Airways,3,3.0,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,6,678,1,2022,1,3,1,F
