UNIQUE_CARRIER,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
HA,0.0,1.0,31600.0,128.0,111.0,0.0,0.0,65.0,95.0,77.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12402,1240203,32402,ITO,"Hilo, HI",HI,15,Hawaii,2,12758,1275804,32758,KOA,"Kona, HI",HI,15,Hawaii,2,6,608,1,2022,1,1,1,F
HA,0.0,1.0,31700.0,128.0,66.0,0.0,0.0,65.0,31.0,16.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12402,1240203,32402,ITO,"Hilo, HI",HI,15,Hawaii,2,12758,1275804,32758,KOA,"Kona, HI",HI,15,Hawaii,2,6,608,1,2022,2,6,1,F
HA,0.0,1.0,50000.0,0.0,0.0,0.0,6152.0,100.0,47.0,22.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,6,721,1,2022,3,9,1,P
HA,0.0,1.0,50000.0,0.0,0.0,0.0,7687.0,100.0,40.0,22.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,6,721,1,2022,3,9,1,P
HA,0.0,1.0,50000.0,0.0,0.0,0.0,7728.0,100.0,40.0,23.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,6,721,1,2022,2,5,1,P
HA,0.0,1.0,50000.0,0.0,0.0,0.0,8015.0,100.0,37.0,24.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,6,721,1,2022,2,6,1,P
HA,0.0,1.0,50000.0,0.0,0.0,0.0,11555.0,100.0,40.0,23.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,6,721,1,2022,2,5,1,P
HA,0.0,1.0,50000.0,189.0,0.0,0.0,0.0,109.0,214.0,184.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,6,721,1,2022,3,7,1,F
HA,0.0,1.0,50000.0,189.0,53.0,229.0,0.0,263.0,57.0,44.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12982,1298202,32982,LIH,"Lihue, HI",HI,15,Hawaii,2,12758,1275804,32758,KOA,"Kona, HI",HI,15,Hawaii,2,6,721,1,2022,4,11,1,F
HA,0.0,1.0,50000.0,189.0,74.0,1817.0,0.0,102.0,45.0,24.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12982,1298202,32982,LIH,"Lihue, HI",HI,15,Hawaii,2,6,721,1,2022,4,11,1,F
HA,0.0,1.0,50000.0,189.0,92.0,0.0,0.0,353.0,210.0,194.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12954,1295407,32575,LGB,"Long Beach, CA",CA,6,California,91,13796,1379609,32457,OAK,"Oakland, CA",CA,6,California,91,6,721,1,2022,4,12,1,F
HA,0.0,1.0,50000.0,189.0,98.0,350.0,0.0,216.0,56.0,36.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12402,1240203,32402,ITO,"Hilo, HI",HI,15,Hawaii,2,6,721,1,2022,1,1,1,F
HA,0.0,1.0,50000.0,189.0,110.0,33.0,0.0,201.0,47.0,36.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12982,1298202,32982,LIH,"Lihue, HI",HI,15,Hawaii,2,6,721,1,2022,1,1,1,F
HA,0.0,1.0,50000.0,189.0,114.0,469.0,0.0,216.0,57.0,36.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12402,1240203,32402,ITO,"Hilo, HI",HI,15,Hawaii,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,6,721,1,2022,1,1,1,F
HA,0.0,1.0,50000.0,189.0,115.0,0.0,0.0,17.0,126.0,108.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12954,1295407,32575,LGB,"Long Beach, CA",CA,6,California,91,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,6,721,1,2022,4,12,1,F
HA,0.0,1.0,50000.0,189.0,121.0,0.0,0.0,201.0,46.0,33.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12982,1298202,32982,LIH,"Lihue, HI",HI,15,Hawaii,2,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,6,721,1,2022,1,1,1,F
HA,0.0,1.0,50000.0,189.0,121.0,0.0,0.0,3242.0,385.0,363.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,11540,1154005,30615,ELP,"El Paso, TX",TX,48,Texas,74,6,721,1,2022,3,9,7,L
HA,0.0,1.0,50000.0,189.0,130.0,758.0,0.0,163.0,44.0,28.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12758,1275804,32758,KOA,"Kona, HI",HI,15,Hawaii,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,6,721,1,2022,4,11,1,F
HA,0.0,1.0,50000.0,189.0,132.0,54.0,0.0,102.0,97.0,62.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12982,1298202,32982,LIH,"Lihue, HI",HI,15,Hawaii,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,6,721,1,2022,4,11,1,F
HA,0.0,1.0,50000.0,189.0,145.0,0.0,0.0,84.0,135.0,26.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12758,1275804,32758,KOA,"Kona, HI",HI,15,Hawaii,2,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,6,721,1,2022,4,12,1,F
HA,0.0,1.0,50000.0,189.0,145.0,0.0,0.0,2516.0,362.0,348.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12954,1295407,32575,LGB,"Long Beach, CA",CA,6,California,91,12758,1275804,32758,KOA,"Kona, HI",HI,15,Hawaii,2,6,721,1,2022,4,12,6,F
HA,0.0,1.0,50000.0,189.0,148.0,0.0,0.0,2398.0,338.0,307.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,6,721,1,2022,1,3,5,F
HA,0.0,1.0,50000.0,189.0,150.0,204.0,0.0,121.0,42.0,26.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12402,1240203,32402,ITO,"Hilo, HI",HI,15,Hawaii,2,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,6,721,1,2022,4,12,1,F
HA,0.0,1.0,50000.0,189.0,166.0,216.0,0.0,2614.0,312.0,289.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,6,721,1,2022,4,11,6,F
HA,0.0,1.0,50000.0,189.0,174.0,0.0,0.0,2614.0,406.0,380.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,6,721,1,2022,4,12,6,F
HA,0.0,1.0,50000.0,189.0,180.0,10.0,1394.0,2462.0,316.0,295.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,14893,1489302,33192,SMF,"Sacramento, CA",CA,6,California,91,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,6,721,1,2022,3,9,5,F
HA,0.0,1.0,50000.0,189.0,181.0,0.0,0.0,2504.0,333.0,312.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12758,1275804,32758,KOA,"Kona, HI",HI,15,Hawaii,2,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,6,721,1,2022,2,6,6,F
HA,0.0,1.0,50000.0,189.0,183.0,315.0,0.0,84.0,36.0,21.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12758,1275804,32758,KOA,"Kona, HI",HI,15,Hawaii,2,6,721,1,2022,2,6,1,F
HA,0.0,1.0,50000.0,189.0,184.0,0.0,0.0,2398.0,307.0,283.0,19690.0,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3.0,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,6,721,1,2022,3,8,5,F
