UNIQUE_CARRIER,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
PT,1.0,1.0,11000.0,50.0,30.0,0.0,0.0,98.0,95.0,64.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,13795,1379502,33795,OAJ,"Jacksonville/Camp Lejeune, NC",NC,37,North Carolina,36,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,6,675,1,2022,3,8,1,F
PT,1.0,1.0,11000.0,50.0,35.0,0.0,0.0,258.0,105.0,72.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,15096,1509602,35096,SYR,"Syracuse, NY",NY,36,New York,22,14307,1430706,30721,PVD,"Providence, RI",RI,44,Rhode Island,15,6,675,1,2022,4,10,1,F
PT,1.0,1.0,11000.0,50.0,38.0,0.0,0.0,588.0,109.0,87.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,12339,1233904,32337,IND,"Indianapolis, IN",IN,18,Indiana,42,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,6,675,1,2022,2,4,2,F
PT,1.0,1.0,11000.0,50.0,43.0,0.0,0.0,335.0,106.0,84.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,13230,1323002,32070,MDT,"Harrisburg, PA",PA,42,Pennsylvania,23,13296,1329604,30721,MHT,"Manchester, NH",NH,33,New Hampshire,14,6,675,1,2022,2,5,1,F
PT,1.0,1.0,11000.0,50.0,45.0,0.0,0.0,316.0,97.0,56.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,12223,1222305,32223,HTS,"Ashland, WV",WV,54,West Virginia,39,10868,1086803,30868,CAE,"Columbia, SC",SC,45,South Carolina,37,6,675,1,2022,1,3,1,F
PT,1.0,1.0,11000.0,50.0,48.0,0.0,0.0,455.0,107.0,85.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,13422,1342202,30562,MOB,"Mobile, AL",AL,1,Alabama,51,11996,1199603,31871,GSP,"Greer, SC",SC,45,South Carolina,37,6,675,1,2022,3,7,1,F
PT,1.0,1.0,11000.0,50.0,49.0,0.0,0.0,588.0,138.0,96.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,12339,1233904,32337,IND,"Indianapolis, IN",IN,18,Indiana,42,6,675,1,2022,2,4,2,F
PT,1.0,1.0,11000.0,50.0,50.0,0.0,0.0,163.0,83.0,49.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,10990,1099005,30990,CHO,"Charlottesville, VA",VA,51,Virginia,38,11995,1199502,31995,GSO,"Greensboro/High Point, NC",NC,37,North Carolina,36,6,675,1,2022,3,9,1,F
PT,1.0,1.0,13210.0,50.0,0.0,0.0,0.0,74.0,68.0,28.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,13342,1334207,33342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45,13485,1348502,33485,MSN,"Madison, WI",WI,55,Wisconsin,45,6,675,1,2022,2,6,1,F
PT,1.0,1.0,13210.0,50.0,0.0,0.0,0.0,98.0,52.0,27.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,14730,1473004,33044,SDF,"Louisville, KY",KY,21,Kentucky,52,11612,1161206,31612,EVV,"Evansville, IN",IN,18,Indiana,42,6,675,1,2022,4,10,1,F
PT,1.0,1.0,13210.0,50.0,0.0,0.0,0.0,219.0,85.0,56.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,11699,1169902,31699,FLO,"Florence, SC",SC,45,South Carolina,37,13139,1313902,33139,LYH,"Lynchburg, VA",VA,51,Virginia,38,6,675,1,2022,1,1,1,F
PT,1.0,1.0,13210.0,50.0,0.0,0.0,0.0,257.0,207.0,96.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,6,675,1,2022,2,5,1,F
PT,1.0,1.0,13210.0,50.0,0.0,0.0,0.0,318.0,68.0,51.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,10980,1098002,30980,CHA,"Chattanooga, TN",TN,47,Tennessee,54,11699,1169902,31699,FLO,"Florence, SC",SC,45,South Carolina,37,6,675,1,2022,1,1,1,F
PT,1.0,1.0,13210.0,50.0,0.0,0.0,0.0,449.0,107.0,81.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,6,675,1,2022,3,8,1,F
PT,1.0,1.0,13210.0,50.0,0.0,0.0,0.0,562.0,100.0,80.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,12448,1244807,32448,JAN,"Jackson/Vicksburg, MS",MS,28,Mississippi,53,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,6,675,1,2022,3,7,2,F
PT,1.0,1.0,13210.0,50.0,0.0,0.0,0.0,589.0,120.0,81.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11995,1199502,31995,GSO,"Greensboro/High Point, NC",NC,37,North Carolina,36,6,675,1,2022,3,9,2,F
PT,1.0,1.0,13210.0,50.0,1.0,0.0,0.0,90.0,47.0,26.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,10599,1059904,30599,BHM,"Birmingham, AL",AL,1,Alabama,51,13277,1327702,33277,MGM,"Montgomery, AL",AL,1,Alabama,51,6,675,1,2022,1,3,1,F
PT,1.0,1.0,13210.0,50.0,8.0,0.0,0.0,290.0,92.0,60.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,13931,1393102,33667,ORF,"Norfolk, VA",VA,51,Virginia,38,6,675,1,2022,1,2,1,F
PT,1.0,1.0,13210.0,50.0,9.0,0.0,0.0,80.0,39.0,22.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,10529,1052906,30529,BDL,"Hartford, CT",CT,9,Connecticut,11,10257,1025702,30257,ALB,"Albany, NY",NY,36,New York,22,6,675,1,2022,1,1,1,F
PT,1.0,1.0,13210.0,50.0,9.0,0.0,0.0,145.0,62.0,32.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,10257,1025702,30257,ALB,"Albany, NY",NY,36,New York,22,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,6,675,1,2022,1,2,1,F
PT,1.0,1.0,13210.0,50.0,9.0,0.0,0.0,198.0,99.0,53.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,14576,1457606,34576,ROC,"Rochester, NY",NY,36,New York,22,10257,1025702,30257,ALB,"Albany, NY",NY,36,New York,22,6,675,1,2022,1,2,1,F
PT,1.0,1.0,13210.0,50.0,12.0,0.0,0.0,109.0,89.0,34.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,13485,1348502,33485,MSN,"Madison, WI",WI,55,Wisconsin,45,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,6,675,1,2022,1,1,1,F
PT,1.0,1.0,13210.0,50.0,12.0,0.0,0.0,685.0,164.0,144.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,11996,1199603,31871,GSP,"Greer, SC",SC,45,South Carolina,37,13485,1348502,33485,MSN,"Madison, WI",WI,55,Wisconsin,45,6,675,1,2022,1,1,2,F
PT,1.0,1.0,13210.0,50.0,16.0,0.0,0.0,103.0,69.0,23.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,14576,1457606,34576,ROC,"Rochester, NY",NY,36,New York,22,10361,1036105,30361,ART,"Watertown, NY",NY,36,New York,22,6,675,1,2022,1,3,1,F
PT,1.0,1.0,13210.0,50.0,19.0,0.0,0.0,148.0,53.0,33.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,14711,1471105,34711,SCE,"State College, PA",PA,42,Pennsylvania,23,11577,1157706,31577,ERI,"Erie, PA",PA,42,Pennsylvania,23,6,675,1,2022,2,5,1,F
PT,1.0,1.0,13210.0,50.0,19.0,0.0,0.0,424.0,142.0,85.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,14711,1471105,34711,SCE,"State College, PA",PA,42,Pennsylvania,23,6,675,1,2022,2,5,1,F
PT,1.0,1.0,13210.0,50.0,19.0,0.0,0.0,646.0,144.0,93.0,20427.0,Piedmont Airlines,06918,D,PT,Piedmont Airlines,2,2.0,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,10257,1025702,30257,ALB,"Albany, NY",NY,36,New York,22,6,675,1,2022,4,11,2,F
