Date,Open,High,Low,Close,Adj Close,Volume
2022-10-05,10.370000,10.550000,10.245000,10.520000,10.520000,736000
2022-10-06,10.420000,10.590000,10.180000,10.490000,10.490000,960100
2022-10-07,10.280000,10.335000,9.540000,9.760000,9.760000,1171400
2022-10-10,9.770000,9.770000,9.515000,9.580000,9.580000,783700
2022-10-11,9.790000,9.950000,9.480000,9.540000,9.540000,1021200
2022-10-12,9.390000,9.550000,9.230000,9.460000,9.460000,969900
2022-10-13,9.410000,9.680000,9.180000,9.250000,9.250000,1420400
2022-10-14,9.470000,9.530000,8.940000,8.940000,8.940000,1281000
2022-10-17,9.220000,9.500000,9.220000,9.370000,9.370000,1388100
2022-10-18,9.560000,9.680000,9.330000,9.540000,9.540000,1225600
2022-10-19,9.560000,9.675000,9.420000,9.540000,9.540000,1145000
2022-10-20,9.550000,9.770000,9.340000,9.400000,9.400000,1196600
2022-10-21,9.380000,9.670000,9.320000,9.570000,9.570000,1028600
2022-10-24,9.590000,9.700000,9.480000,9.600000,9.600000,1160600
2022-10-25,9.560000,9.930000,9.510000,9.920000,9.920000,881800
2022-10-26,9.810000,10.425000,9.670000,10.190000,10.190000,1752900
2022-10-27,10.250000,11.920000,10.180000,11.870000,11.870000,2376900
2022-10-28,11.970000,12.590000,11.870000,12.480000,12.480000,1766500
2022-10-31,12.600000,13.150000,12.420000,13.110000,13.110000,1339700
2022-11-01,13.240000,13.650000,12.970000,13.320000,13.320000,1319000
2022-11-02,13.190000,13.490000,12.880000,13.060000,13.060000,1125500
2022-11-03,12.840000,13.010000,12.665000,12.690000,12.690000,1087800
2022-11-04,13.000000,13.090000,12.535000,12.680000,12.680000,1009100
2022-11-07,12.890000,13.180000,12.640000,13.140000,13.140000,751200
2022-11-08,13.240000,13.240000,12.750000,12.810000,12.810000,677600
2022-11-09,12.595000,13.165000,12.450000,12.830000,12.830000,688500
2022-11-10,13.370000,13.580000,13.240000,13.460000,13.460000,830100
2022-11-11,13.480000,13.900000,13.380000,13.590000,13.590000,780400
2022-11-14,13.650000,13.900000,13.480000,13.540000,13.540000,799100
2022-11-15,13.830000,14.340000,13.790000,13.950000,13.950000,843100
2022-11-16,14.010000,14.110000,13.645000,13.670000,13.670000,1003500
2022-11-17,13.350000,13.850000,13.100000,13.300000,13.300000,707800
2022-11-18,13.730000,13.880000,13.220000,13.240000,13.240000,698000
2022-11-21,13.160000,13.320000,12.950000,13.240000,13.240000,706300
2022-11-22,13.250000,13.250000,12.960000,13.070000,13.070000,575100
2022-11-23,13.040000,13.385000,13.040000,13.230000,13.230000,499000
