Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,6.640000,6.690000,6.400000,6.500000,6.500000,12172200
2023-01-04,6.580000,7.110000,6.560000,7.100000,7.100000,12460000
2023-01-05,7.030000,7.180000,6.970000,7.070000,7.070000,7954900
2023-01-06,7.100000,7.320000,7.070000,7.280000,7.280000,7265500
2023-01-09,7.370000,7.470000,7.300000,7.310000,7.310000,7282600
2023-01-10,7.260000,7.690000,7.230000,7.670000,7.670000,8045000
2023-01-11,7.590000,7.910000,7.580000,7.810000,7.810000,7564100
2023-01-12,7.990000,8.120000,7.850000,8.120000,8.120000,9718000
2023-01-13,7.810000,8.240000,7.770000,8.240000,8.240000,8901900
2023-01-17,8.140000,8.440000,8.100000,8.440000,8.440000,9795800
2023-01-18,8.630000,8.670000,8.310000,8.430000,8.430000,10445900
2023-01-19,8.290000,8.510000,8.200000,8.500000,8.500000,9570000
2023-01-20,8.570000,8.820000,8.520000,8.580000,8.580000,11168700
2023-01-23,8.610000,8.730000,8.550000,8.650000,8.650000,6470700
2023-01-24,8.580000,8.690000,8.420000,8.470000,8.470000,7637700
2023-01-25,8.390000,8.490000,8.320000,8.410000,8.410000,11834600
2023-01-26,8.470000,8.500000,8.000000,8.350000,8.350000,14369300
2023-01-27,8.280000,8.290000,7.970000,7.970000,7.970000,14351200
2023-01-30,7.940000,8.010000,7.820000,7.850000,7.850000,9187400
2023-01-31,7.870000,8.050000,7.800000,8.000000,8.000000,7773800
2023-02-01,7.950000,8.260000,7.870000,8.250000,8.250000,11225800
2023-02-02,8.280000,9.350000,8.280000,9.220000,9.220000,26474100
2023-02-03,9.050000,9.090000,8.690000,8.730000,8.730000,10932400
2023-02-06,8.630000,8.710000,8.570000,8.630000,8.630000,7019100
2023-02-07,8.630000,8.860000,8.540000,8.810000,8.810000,7770000
2023-02-08,8.740000,8.810000,8.600000,8.680000,8.680000,7190600
2023-02-09,8.790000,8.850000,8.410000,8.490000,8.490000,8239500
2023-02-10,8.350000,8.410000,8.230000,8.320000,8.320000,5932300
