NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-4572596.01,-2908378.00,412343.00,5264.00,,14930.00,23905.00,,7101.00,44917.00,,20027.00,184832.00,0.00,494562.00,1207881.00,1156551.00,204428.00,300142.00,661741.00,169003.00,259661.00,,505064.00,859669.00,4116259.00,-150658.00,5327.00,-4092.00,-1032.00,-640750.00,-1860117.01,-2651322.01,-5559700.01,-987104.00,-4572596.01,0.00,0.00,0.00,,0.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2020,2
-4526428.43,-2015723.00,1160252.00,13532.00,,25032.00,72089.00,,36963.00,17280.00,,4540.00,343525.00,0.00,926282.00,2599495.00,1216704.00,280736.00,305740.00,800765.00,216891.00,219001.00,,473059.00,1102322.00,4615218.00,-216773.00,-12574.00,-4266.00,2065.00,0.00,-3478218.43,-3709766.43,-5725489.43,-1199061.00,-4526428.43,0.00,0.00,0.00,,0.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2020,3
-1735853.74,-2102709.99,3699697.77,3311.16,,17653.30,183375.87,,2297.92,0.00,,131170.60,461042.28,0.00,1548838.80,6047387.70,1980083.92,769270.63,526995.32,677679.88,250647.17,1656594.97,0.00,379274.86,1909550.94,8150097.69,-246680.00,-13724.91,-5305.70,0.00,0.00,4844.86,-260865.75,-2363575.74,-627722.00,-1735853.74,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2020,1
-1601905.31,-2003556.51,1664238.03,4758.36,,34307.70,144391.68,,6162.05,0.00,,4174.33,443328.52,0.00,843645.17,3145005.83,1329753.57,617842.48,342242.55,545209.31,109432.64,654436.31,0.00,367741.44,1181904.04,5148562.34,-330666.10,-15054.54,-3891.69,0.00,0.00,149740.61,-199871.72,-2203428.23,-601522.93,-1601905.31,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2020,4
-1538579.79,-4029704.61,612416.29,4719.55,,24814.34,58287.65,,32.89,0.00,,11884.08,358419.95,0.00,343876.32,1414451.07,1326300.50,655811.56,389308.98,525826.53,78572.92,1051758.06,0.00,443125.95,973451.18,5444155.68,-244254.15,-10341.86,-9646.32,0.00,0.00,2191664.57,1927422.24,-2102282.37,-563702.58,-1538579.79,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2020,2
-1476828.20,-4146599.97,1487012.29,3510.43,,24958.67,130270.74,,1488.97,0.00,,9301.84,381794.48,0.00,667922.32,2706259.74,1444215.85,667429.47,423661.96,568293.61,98370.60,2152874.49,0.00,413260.95,1084752.80,6852859.71,-297128.13,-12757.47,-4954.79,0.00,0.00,2323906.55,2009066.16,-2137533.81,-660705.61,-1476828.20,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2020,3
-1281719.73,-2127672.91,646677.07,15609.83,,35329.93,63319.55,,43352.98,,,7405.70,-334.40,,860312.44,1671673.11,734857.81,247234.01,218474.71,946306.02,88006.81,547275.27,,407651.97,609539.41,3799346.02,-195704.76,14493.61,1421.53,,,684263.83,504474.20,-1623198.71,-341478.98,-1281719.73,,,,-1281719.73,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2020,3
-1230613.63,-1688246.82,1023578.49,12774.29,,42784.17,96027.39,,52634.35,,,6733.34,248.68,,1001204.93,2235985.62,792520.84,292481.67,226749.95,1025406.59,106718.72,440882.93,,348982.37,690489.37,3924232.44,-182619.57,13439.21,692.05,,,318069.55,149581.24,-1538665.59,-308051.95,-1230613.63,,,,-1230613.63,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2020,4
-1143876.00,-2628872.00,1354022.00,0.00,,40548.00,8739.00,,6220.00,0.00,,0.00,352092.00,0.00,11648.00,1773269.00,1672609.00,363182.00,570396.00,941336.00,197509.00,316487.00,,315271.00,25351.00,4402141.00,-108846.00,9741.00,200.00,0.00,,1202824.00,1103919.00,-1524953.00,-381077.00,-1143876.00,0.00,0.00,0.00,-1143876.00,0.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2020,3
-1100395.86,-2198532.83,268357.67,3933.68,,22041.01,26271.78,,18224.49,,,3965.71,617.23,,582431.86,925843.42,500270.79,243810.18,187052.71,882583.92,73007.40,298461.44,,405413.60,533776.21,3124376.26,-123043.08,19335.19,5495.89,,,940824.80,842612.79,-1355920.04,-255524.19,-1100395.86,,,,-1100395.86,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2020,2
