Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,10.460000,10.510000,9.980000,10.100000,10.100000,704000
2023-01-04,10.250000,10.840000,10.230000,10.720000,10.720000,668900
2023-01-05,10.620000,10.655000,10.340000,10.420000,10.420000,606200
2023-01-06,10.560000,10.660000,10.235000,10.430000,10.430000,683300
2023-01-09,10.610000,10.850000,10.490000,10.570000,10.570000,840200
2023-01-10,10.570000,11.055000,10.570000,11.010000,11.010000,457400
2023-01-11,11.070000,11.450000,11.040000,11.410000,11.410000,686700
2023-01-12,11.630000,12.115000,11.430000,12.070000,12.070000,797700
2023-01-13,11.680000,12.290000,11.510000,12.240000,12.240000,513500
2023-01-17,12.230000,12.272000,11.935000,12.150000,12.150000,515900
2023-01-18,12.450000,12.560000,11.990000,12.020000,12.020000,551200
2023-01-19,11.890000,11.990000,11.710000,11.910000,11.910000,377200
2023-01-20,12.020000,12.250000,11.810000,12.180000,12.180000,525600
2023-01-23,12.260000,12.310000,12.070000,12.250000,12.250000,441600
2023-01-24,12.240000,12.610000,12.200000,12.530000,12.530000,438400
2023-01-25,12.480000,12.530000,12.105000,12.380000,12.380000,356600
2023-01-26,12.440000,12.510000,12.150000,12.380000,12.380000,439900
2023-01-27,12.310000,12.440000,12.205000,12.250000,12.250000,313400
2023-01-30,12.120000,12.380000,12.010000,12.240000,12.240000,334700
2023-01-31,12.320000,12.620000,12.260000,12.580000,12.580000,344400
2023-02-01,12.490000,12.925000,12.380000,12.810000,12.810000,572900
2023-02-02,12.910000,13.800000,12.861000,13.500000,13.500000,888500
2023-02-03,13.250000,14.095000,13.240000,13.760000,13.760000,826100
2023-02-06,13.570000,13.840000,13.450000,13.750000,13.750000,638500
2023-02-07,13.660000,13.900000,13.350000,13.630000,13.630000,609700
2023-02-08,13.540000,14.030000,13.520000,13.600000,13.600000,772100
2023-02-09,12.780000,13.150000,10.920000,11.580000,11.580000,4002100
2023-02-10,11.420000,11.860000,11.350000,11.600000,11.600000,2187400
2023-02-13,11.580000,11.820000,11.290000,11.380000,11.380000,1809000
2023-02-14,11.310000,11.845000,11.230000,11.700000,11.700000,1239500
2023-02-15,11.320000,11.670000,11.300000,11.470000,11.470000,1420000
2023-02-16,11.360000,11.465000,11.155000,11.190000,11.190000,887800
2023-02-17,11.140000,11.300000,11.010000,11.180000,11.180000,775700
2023-02-21,11.020000,11.075000,10.840000,10.920000,10.920000,1004200
2023-02-22,10.880000,10.970000,10.532000,10.900000,10.900000,1210300
2023-02-23,10.960000,11.140000,10.765000,10.960000,10.960000,793800
2023-02-24,10.750000,11.120000,10.640000,11.110000,11.110000,948100
2023-02-27,11.200000,11.468000,10.570000,11.240000,11.240000,3045900
2023-02-28,11.220000,11.900000,11.161000,11.760000,11.760000,1816600
2023-03-01,11.770000,11.850000,11.195000,11.290000,11.290000,1599200
2023-03-02,11.170000,11.390000,10.915000,11.370000,11.370000,1059000
2023-03-03,11.510000,11.720000,11.460000,11.580000,11.580000,794700
2023-03-06,11.740000,11.860000,11.460000,11.470000,11.470000,1112300
2023-03-07,11.540000,11.805000,11.430000,11.770000,11.770000,952800
2023-03-08,11.800000,11.840000,11.220000,11.750000,11.750000,2220900
2023-03-09,11.750000,11.800000,11.130000,11.140000,11.140000,1141800
2023-03-10,11.160000,11.220000,10.540000,10.660000,10.660000,6853800
2023-03-13,10.520000,10.550000,10.185000,10.400000,10.400000,1709300
2023-03-14,10.530000,10.570000,9.805000,9.890000,9.890000,1552200
2023-03-15,9.590000,9.590000,9.000000,9.160000,9.160000,2175400
2023-03-16,8.980000,9.475000,8.940000,9.380000,9.380000,1441600
2023-03-17,9.240000,9.466000,9.035000,9.110000,9.110000,2634700
2023-03-20,9.100000,9.270000,9.065000,9.100000,9.100000,1090800
2023-03-21,9.330000,9.490000,9.255000,9.380000,9.380000,910600
2023-03-22,9.420000,9.420000,9.030000,9.050000,9.050000,1007600
2023-03-23,9.140000,9.160000,8.740000,8.850000,8.850000,1068600
2023-03-24,8.750000,8.750000,8.390000,8.660000,8.660000,1392700
2023-03-27,8.790000,8.826000,8.652000,8.780000,8.780000,933600
2023-03-28,8.760000,9.040000,8.740000,8.980000,8.980000,1908100
2023-03-29,9.250000,9.420000,9.210000,9.380000,9.380000,1598900
2023-03-30,9.550000,9.720000,9.410000,9.420000,9.420000,1338200
2023-03-31,9.520000,9.850000,9.490000,9.840000,9.840000,886600
2023-04-03,9.690000,9.760000,9.370000,9.580000,9.580000,1042600
2023-04-04,9.630000,9.655000,9.401000,9.590000,9.590000,718100
2023-04-05,9.520000,9.585000,9.223000,9.460000,9.460000,1354700
2023-04-06,9.540000,9.560000,9.315000,9.470000,9.470000,2037700
2023-04-10,9.460000,9.850000,9.460000,9.750000,9.750000,1597600
2023-04-11,9.790000,10.070000,9.700000,9.800000,9.800000,960200
2023-04-12,9.850000,9.870000,9.270000,9.490000,9.490000,906500
2023-04-13,9.580000,9.610000,9.300000,9.490000,9.490000,682800
2023-04-14,9.470000,9.480000,9.180000,9.250000,9.250000,632700
2023-04-17,9.310000,9.495000,9.260000,9.470000,9.470000,539600
2023-04-18,9.590000,9.590000,9.379000,9.500000,9.500000,546300
2023-04-19,9.410000,9.770000,9.325000,9.680000,9.680000,809900
2023-04-20,9.550000,9.790000,9.470000,9.580000,9.580000,653700
2023-04-21,9.560000,9.610000,9.420000,9.500000,9.500000,522100
2023-04-24,9.530000,9.620000,9.310000,9.390000,9.390000,474200
2023-04-25,9.260000,9.350000,9.050000,9.070000,9.070000,681100
2023-04-26,9.060000,9.250000,8.880000,8.900000,8.900000,688400
2023-04-27,8.910000,9.045000,8.870000,8.990000,8.990000,916200
2023-04-28,9.000000,9.570000,9.000000,9.490000,9.490000,1034500
2023-05-01,9.410000,9.610000,9.260000,9.600000,9.600000,1196800
2023-05-02,9.590000,9.600000,9.150000,9.370000,9.370000,1765400
2023-05-03,9.350000,9.845000,9.300000,9.540000,9.540000,1303900
2023-05-04,8.840000,8.850000,7.610000,7.650000,7.650000,4164900
2023-05-05,7.780000,8.245000,7.750000,8.090000,8.090000,1619900
2023-05-08,7.850000,8.220000,7.820000,8.100000,8.100000,1428400
2023-05-09,8.060000,8.195000,7.875000,8.150000,8.150000,961700
2023-05-10,8.250000,8.250000,7.820000,8.000000,8.000000,1316100
2023-05-11,7.890000,7.960000,7.780000,7.930000,7.930000,812400
2023-05-12,7.940000,8.050000,7.785000,7.810000,7.810000,736100
2023-05-15,7.840000,8.060000,7.760000,8.030000,8.030000,903800
2023-05-16,8.010000,8.052000,7.780000,7.790000,7.790000,844100
2023-05-17,7.880000,8.320000,7.870000,8.190000,8.190000,1122000
2023-05-18,8.160000,8.230000,7.960000,8.040000,8.040000,1351400
2023-05-19,8.110000,8.110000,7.820000,7.880000,7.880000,1215600
2023-05-22,7.910000,7.980000,7.740000,7.920000,7.920000,1364200
2023-05-23,7.920000,8.260000,7.910000,7.960000,7.960000,993200
2023-05-24,7.910000,7.950000,7.755000,7.880000,7.880000,1089600
2023-05-25,7.910000,8.110000,7.765000,7.900000,7.900000,1298200
2023-05-26,7.970000,8.410000,7.970000,8.200000,8.200000,2052700
2023-05-30,8.280000,8.410000,8.110000,8.230000,8.230000,1267700
2023-05-31,8.320000,8.450000,8.150000,8.230000,8.230000,1559100
